source,question,answer/countries,"UE27
EU27",BE,BG,CZ,DK,D-W,DE,D-E,EE,IE,EL,ES,FR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK
special_eb_322_volume_A.xls,most_serious_problem,TOTAL,26719.0,1005.0,1015.0,1007.0,1020.0,1037.0,1549.0,512.0,1000.0,1001.0,1000.0,1026.0,1027.0,1039.0,508.0,1011.0,1023.0,500.0,1000.0,500.0,996.0,1007.0,1000.0,1051.0,1013.0,1025.0,1050.0,1008.0,1007.0,1331.0
special_eb_322_volume_A.xls,most_serious_problem,Le changement climatique,4519.0,198.0,99.0,146.0,284.0,220.0,306.0,74.0,95.0,158.0,245.0,148.0,205.0,127.0,102.0,96.0,127.0,148.0,162.0,110.0,139.0,274.0,133.0,92.0,115.0,306.0,153.0,234.0,365.0,231.0
special_eb_322_volume_A.xls,most_serious_problem,Climate change,0.17,0.2,0.1,0.14,0.28,0.21,0.2,0.15,0.1,0.16,0.24,0.14,0.2,0.12,0.2,0.09,0.12,0.29,0.16,0.22,0.14,0.27,0.13,0.09,0.11,0.3,0.14,0.23,0.36,0.17
special_eb_322_volume_A.xls,most_serious_problem,Le terrorisme international ,2680.0,93.0,75.0,97.0,131.0,78.0,118.0,40.0,94.0,52.0,35.0,135.0,97.0,128.0,12.0,60.0,44.0,54.0,45.0,55.0,100.0,77.0,118.0,94.0,67.0,45.0,135.0,55.0,33.0,189.0
special_eb_322_volume_A.xls,most_serious_problem,International terrorism,0.1,0.09,0.07,0.1,0.13,0.08,0.07,0.08,0.09,0.05,0.04,0.13,0.1,0.12,0.02,0.06,0.04,0.11,0.05,0.11,0.1,0.08,0.12,0.09,0.07,0.04,0.13,0.05,0.03,0.14
special_eb_322_volume_A.xls,most_serious_problem,"La pauvreté, le manque de nourriture et d’eau potable",9141.0,371.0,298.0,164.0,250.0,343.0,521.0,183.0,230.0,266.0,295.0,447.0,484.0,332.0,150.0,235.0,193.0,163.0,411.0,112.0,343.0,235.0,335.0,443.0,379.0,255.0,282.0,352.0,329.0,327.0
special_eb_322_volume_A.xls,most_serious_problem,"Poverty, lack of food and drinking water",0.34,0.37,0.29,0.16,0.25,0.33,0.34,0.36,0.23,0.27,0.3,0.44,0.47,0.32,0.29,0.23,0.19,0.33,0.41,0.23,0.34,0.23,0.34,0.42,0.37,0.25,0.27,0.35,0.33,0.25
special_eb_322_volume_A.xls,most_serious_problem,La propagation d’une maladie infectieuse,1904.0,44.0,55.0,116.0,52.0,35.0,56.0,23.0,88.0,141.0,144.0,51.0,42.0,158.0,83.0,69.0,54.0,20.0,105.0,72.0,17.0,88.0,111.0,142.0,67.0,140.0,113.0,57.0,35.0,52.0
special_eb_322_volume_A.xls,most_serious_problem,The spread of an infectious disease ,0.07,0.04,0.06,0.11,0.05,0.03,0.04,0.04,0.09,0.14,0.14,0.05,0.04,0.15,0.16,0.07,0.05,0.04,0.11,0.14,0.02,0.09,0.11,0.14,0.07,0.14,0.11,0.06,0.03,0.04
special_eb_322_volume_A.xls,most_serious_problem,Un important recul de l’économie mondiale,3760.0,114.0,387.0,391.0,123.0,157.0,246.0,94.0,263.0,209.0,226.0,101.0,66.0,113.0,107.0,391.0,446.0,29.0,181.0,90.0,94.0,102.0,86.0,108.0,261.0,183.0,254.0,99.0,36.0,207.0
