source,question,answer/countries,"UE28
EU28",BE,BG,CZ,DK,D-W,DE,D-E,EE,IE,EL,ES,FR,IT,CY,LV,LT,LU,HR,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK
special_eb_409_volume_A.xls,most_serious_problem,TOTAL,27919.0,1077.0,1026.0,1018.0,1010.0,1039.0,1600.0,561.0,1012.0,1007.0,1007.0,1013.0,1022.0,1019.0,500.0,1011.0,1023.0,510.0,1002.0,1012.0,500.0,1037.0,1019.0,1000.0,1055.0,1013.0,1113.0,1000.0,971.0,1011.0,1331.0
special_eb_409_volume_A.xls,most_serious_problem,Le changement climatique,4387.0,265.0,96.0,112.0,309.0,283.0,439.0,157.0,89.0,141.0,90.0,85.0,145.0,139.0,42.0,91.0,125.0,85.0,163.0,104.0,148.0,208.0,241.0,112.0,61.0,102.0,190.0,115.0,222.0,393.0,161.0
special_eb_409_volume_A.xls,most_serious_problem,Climate change,0.16,0.24,0.09,0.11,0.3,0.27,0.27,0.28,0.09,0.14,0.09,0.08,0.14,0.14,0.08,0.09,0.12,0.17,0.16,0.1,0.3,0.2,0.24,0.11,0.06,0.1,0.17,0.12,0.23,0.39,0.12
special_eb_409_volume_A.xls,most_serious_problem,Le terrorisme international,2200.0,83.0,93.0,99.0,107.0,107.0,161.0,51.0,92.0,67.0,21.0,17.0,91.0,69.0,15.0,97.0,76.0,43.0,41.0,61.0,53.0,94.0,47.0,98.0,38.0,41.0,26.0,64.0,52.0,33.0,176.0
special_eb_409_volume_A.xls,most_serious_problem,International terrorism,0.08,0.08,0.09,0.1,0.11,0.1,0.1,0.09,0.09,0.07,0.02,0.02,0.09,0.07,0.03,0.1,0.08,0.08,0.04,0.06,0.1,0.09,0.05,0.1,0.04,0.04,0.02,0.06,0.05,0.03,0.13
special_eb_409_volume_A.xls,most_serious_problem,"La pauvreté, la faim et le manque d’eau potable",9897.0,367.0,358.0,225.0,296.0,384.0,581.0,190.0,275.0,361.0,419.0,458.0,439.0,214.0,170.0,266.0,300.0,237.0,386.0,415.0,142.0,406.0,318.0,318.0,521.0,431.0,482.0,354.0,317.0,328.0,450.0
special_eb_409_volume_A.xls,most_serious_problem,"Poverty, hunger and lack of drinking water",0.35,0.34,0.35,0.22,0.29,0.37,0.36,0.34,0.27,0.36,0.42,0.45,0.43,0.21,0.34,0.26,0.29,0.46,0.39,0.41,0.28,0.39,0.31,0.32,0.49,0.42,0.43,0.36,0.33,0.33,0.34
special_eb_409_volume_A.xls,most_serious_problem,La propagation de maladies infectieuses,732.0,18.0,26.0,42.0,10.0,13.0,17.0,3.0,17.0,23.0,5.0,6.0,15.0,46.0,10.0,40.0,34.0,10.0,12.0,42.0,28.0,12.0,28.0,54.0,22.0,74.0,14.0,24.0,19.0,34.0,33.0
special_eb_409_volume_A.xls,most_serious_problem,Spread of infectious diseases,0.03,0.02,0.02,0.04,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.05,0.02,0.04,0.03,0.02,0.01,0.04,0.06,0.01,0.03,0.05,0.02,0.07,0.01,0.02,0.02,0.04,0.02
special_eb_409_volume_A.xls,most_serious_problem,La situation économique,6649.0,216.0,284.0,380.0,97.0,86.0,134.0,49.0,295.0,278.0,417.0,395.0,228.0,479.0,229.0,321.0,349.0,73.0,290.0,271.0,76.0,96.0,208.0,189.0,290.0,301.0,308.0,341.0,90.0,54.0,151.0
special_eb_409_volume_A.xls,most_serious_problem,The economic situation,0.24,0.2,0.28,0.37,0.1,0.08,0.08,0.09,0.29,0.28,0.41,0.39,0.22,0.47,0.46,0.32,0.34,0.14,0.29,0.27,0.15,0.09,0.2,0.19,0.27,0.3,0.28,0.34,0.09,0.05,0.11
special_eb_409_volume_A.xls,most_serious_problem,La prolifération d’armes nucléaires,791.0,17.0,42.0,40.0,27.0,25.0,40.0,16.0,40.0,34.0,22.0,8.0,38.0,25.0,7.0,38.0,29.0,12.0,40.0,21.0,9.0,23.0,28.0,72.0,16.0,10.0,33.0,16.0,60.0,33.0,32.0
special_eb_409_volume_A.xls,most_serious_problem,Proliferation of nuclear weapons,0.03,0.02,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.02,0.01,0.04,0.02,0.01,0.04,0.03,0.02,0.04,0.02,0.02,0.02,0.03,0.07,0.02,0.01,0.03,0.02,0.06,0.03,0.02
special_eb_409_volume_A.xls,most_serious_problem,Les conflits armés,1271.0,32.0,91.0,48.0,42.0,45.0,78.0,40.0,68.0,41.0,13.0,22.0,25.0,25.0,7.0,76.0,53.0,20.0,43.0,26.0,22.0,62.0,53.0,109.0,55.0,18.0,11.0,49.0,68.0,41.0,92.0
special_eb_409_volume_A.xls,most_serious_problem,Armed conflicts,0.04,0.03,0.09,0.05,0.04,0.04,0.05,0.07,0.07,0.04,0.01,0.02,0.02,0.02,0.01,0.07,0.05,0.04,0.04,0.03,0.04,0.06,0.05,0.11,0.05,0.02,0.01,0.05,0.07,0.04,0.07
special_eb_409_volume_A.xls,most_serious_problem,L’augmentation de la population mondiale,1470.0,67.0,18.0,60.0,109.0,79.0,119.0,39.0,84.0,51.0,13.0,8.0,36.0,13.0,8.0,30.0,35.0,25.0,15.0,61.0,18.0,122.0,86.0,13.0,9.0,19.0,31.0,32.0,120.0,80.0,183.0
special_eb_409_volume_A.xls,most_serious_problem,The increasing global population,0.05,0.06,0.02,0.06,0.11,0.08,0.08,0.07,0.08,0.05,0.01,0.01,0.04,0.01,0.02,0.03,0.04,0.05,0.02,0.06,0.04,0.12,0.08,0.01,0.01,0.02,0.03,0.03,0.13,0.08,0.14
special_eb_409_volume_A.xls,most_serious_problem,Autre (SPONTANE),217.0,6.0,6.0,5.0,11.0,11.0,20.0,11.0,31.0,7.0,8.0,11.0,4.0,5.0,12.0,25.0,7.0,4.0,4.0,6.0,3.0,13.0,9.0,1.0,33.0,8.0,16.0,3.0,11.0,12.0,7.0
special_eb_409_volume_A.xls,most_serious_problem,Other (SPONTANEOUS),0.01,0.01,0.01,- ,0.01,0.01,0.01,0.02,0.03,0.01,0.01,0.01,- ,0.01,0.03,0.02,0.01,0.01,- ,0.01,0.01,0.02,0.01,- ,0.03,0.01,0.02,- ,0.01,0.01,0.01
special_eb_409_volume_A.xls,most_serious_problem,Aucun (SPONTANE) ,81.0,3.0,1.0,6.0,1.0,2.0,3.0,2.0,5.0,1.0,1.0,3.0,1.0,3.0,0.0,10.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,7.0,4.0,2.0,2.0,0.0,3.0,3.0,8.0
special_eb_409_volume_A.xls,most_serious_problem,None (SPONTANEOUS) ,- ,- ,- ,0.01,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,0.01,- ,0.01,0.01,- ,- ,- ,- ,0.01,- ,- ,- ,- ,- ,- ,0.01
special_eb_409_volume_A.xls,most_serious_problem,NSP,223.0,2.0,12.0,1.0,3.0,5.0,8.0,3.0,15.0,4.0,0.0,1.0,0.0,1.0,0.0,17.0,13.0,0.0,2.0,5.0,0.0,1.0,1.0,28.0,6.0,7.0,1.0,3.0,9.0,1.0,37.0
special_eb_409_volume_A.xls,most_serious_problem,DK,0.01,- ,0.01,- ,- ,0.01,0.01,- ,0.02,- ,- ,- ,- ,- ,- ,0.02,0.01,- ,- ,- ,- ,- ,- ,0.03,0.01,0.01,- ,- ,0.01,- ,0.03
