source,question,answer/countries,"UE27
EU27",BE,BG,CZ,DK,D-W,DE,D-E,EE,EL,ES,FR,IE,IT,CY,CY (tcc),LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,HR,TR,MK
special_eb_300_volume_A.xls,severity_of_problem,TOTAL,13436.0,492.0,512.0,501.0,492.0,515.0,764.0,245.0,517.0,502.0,566.0,525.0,496.0,516.0,262.0,261.0,512.0,499.0,255.0,496.0,251.0,509.0,485.0,503.0,510.0,500.0,514.0,566.0,473.0,502.0,646.0,502.0,505.0,504.0
special_eb_300_volume_A.xls,severity_of_problem,1. Pas un problème sérieux du tout,158.0,6.0,8.0,5.0,6.0,4.0,8.0,7.0,12.0,0.0,3.0,3.0,0.0,8.0,1.0,7.0,6.0,13.0,6.0,2.0,2.0,18.0,0.0,10.0,1.0,3.0,3.0,1.0,5.0,7.0,12.0,2.0,12.0,0.0
special_eb_300_volume_A.xls,severity_of_problem,  Not a serious problem at all,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.03,0.02,- ,- ,0.01,- ,0.01,- ,0.03,0.01,0.03,0.02,- ,0.01,0.03,- ,0.02,- ,0.01,0.01,- ,0.01,0.01,0.02,- ,0.02,-
special_eb_300_volume_A.xls,severity_of_problem,2.,129.0,4.0,3.0,1.0,3.0,5.0,7.0,2.0,6.0,1.0,3.0,3.0,3.0,11.0,0.0,1.0,5.0,3.0,3.0,0.0,0.0,4.0,0.0,3.0,5.0,0.0,3.0,0.0,9.0,16.0,9.0,6.0,4.0,0.0
special_eb_300_volume_A.xls,severity_of_problem,,0.01,0.01,- ,- ,0.01,0.01,0.01,0.01,0.01,- ,- ,0.01,0.01,0.02,- ,- ,0.01,0.01,0.01,- ,- ,0.01,- ,0.01,0.01,- ,0.01,- ,0.02,0.03,0.01,0.01,0.01,-
special_eb_300_volume_A.xls,severity_of_problem,3.,266.0,4.0,11.0,18.0,16.0,11.0,21.0,13.0,13.0,1.0,4.0,6.0,4.0,10.0,0.0,2.0,10.0,11.0,3.0,9.0,0.0,14.0,9.0,9.0,7.0,7.0,4.0,8.0,9.0,15.0,22.0,4.0,3.0,8.0
special_eb_300_volume_A.xls,severity_of_problem,,0.02,0.01,0.02,0.04,0.03,0.02,0.03,0.05,0.03,- ,0.01,0.01,0.01,0.02,- ,0.01,0.02,0.02,0.01,0.02,- ,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.01,0.01,0.01
special_eb_300_volume_A.xls,severity_of_problem,4.,332.0,14.0,4.0,15.0,10.0,20.0,26.0,3.0,24.0,1.0,1.0,6.0,7.0,19.0,0.0,5.0,15.0,13.0,9.0,8.0,4.0,19.0,16.0,7.0,9.0,5.0,3.0,13.0,12.0,7.0,33.0,15.0,6.0,13.0
special_eb_300_volume_A.xls,severity_of_problem,,0.03,0.03,0.01,0.03,0.02,0.04,0.03,0.01,0.05,- ,- ,0.01,0.01,0.04,- ,0.02,0.03,0.02,0.04,0.02,0.01,0.04,0.03,0.01,0.02,0.01,0.01,0.02,0.03,0.01,0.05,0.03,0.01,0.03
special_eb_300_volume_A.xls,severity_of_problem,5.,1008.0,48.0,27.0,31.0,50.0,50.0,72.0,19.0,68.0,5.0,15.0,41.0,36.0,30.0,6.0,12.0,46.0,52.0,31.0,17.0,13.0,70.0,23.0,46.0,43.0,24.0,22.0,32.0,32.0,39.0,71.0,57.0,27.0,37.0
