source,question,answer/countries,"UE28
EU28",BE,BG,CZ,DK,D-W,DE,D-E,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK
special_eb_459_volume_A.xls,severity_of_problem,TOTAL,27901.0,1023.0,1044.0,1058.0,1000.0,1022.0,1537.0,515.0,1017.0,1021.0,1010.0,1024.0,1004.0,1048.0,1022.0,501.0,1004.0,1001.0,510.0,1053.0,500.0,1015.0,1001.0,1008.0,1061.0,1033.0,1027.0,1014.0,1012.0,1007.0,1346.0
special_eb_459_volume_A.xls,severity_of_problem,1 Pas un problème Sérieux,400.0,4.0,9.0,15.0,3.0,18.0,36.0,25.0,50.0,8.0,10.0,5.0,8.0,15.0,7.0,2.0,45.0,14.0,10.0,3.0,4.0,12.0,8.0,19.0,1.0,7.0,21.0,8.0,19.0,11.0,44.0
special_eb_459_volume_A.xls,severity_of_problem,1 Not at all a serious problem,0.01,- ,0.01,0.01,- ,0.02,0.02,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.01,- ,0.04,0.01,0.02,- ,0.01,0.01,0.01,0.02,- ,0.01,0.02,0.01,0.02,0.01,0.03
special_eb_459_volume_A.xls,severity_of_problem,2,187.0,12.0,6.0,13.0,7.0,7.0,10.0,2.0,29.0,10.0,3.0,1.0,4.0,14.0,7.0,3.0,26.0,8.0,4.0,7.0,1.0,4.0,11.0,7.0,0.0,4.0,13.0,3.0,10.0,6.0,16.0
special_eb_459_volume_A.xls,severity_of_problem,,0.01,0.01,- ,0.01,0.01,0.01,0.01,- ,0.03,0.01,- ,- ,- ,0.01,0.01,0.01,0.03,0.01,0.01,0.01,- ,- ,0.01,0.01,- ,- ,0.01,- ,0.01,0.01,0.01
special_eb_459_volume_A.xls,severity_of_problem,3,514.0,32.0,18.0,45.0,17.0,23.0,43.0,26.0,47.0,26.0,4.0,10.0,11.0,38.0,8.0,5.0,38.0,29.0,7.0,12.0,9.0,16.0,29.0,18.0,3.0,23.0,22.0,9.0,27.0,13.0,37.0
special_eb_459_volume_A.xls,severity_of_problem,,0.02,0.03,0.02,0.04,0.02,0.02,0.03,0.05,0.05,0.03,- ,0.01,0.01,0.04,0.01,0.01,0.04,0.03,0.01,0.01,0.02,0.02,0.03,0.02,- ,0.02,0.02,0.01,0.03,0.01,0.03
special_eb_459_volume_A.xls,severity_of_problem,4,659.0,17.0,21.0,54.0,27.0,26.0,44.0,21.0,58.0,30.0,9.0,11.0,11.0,52.0,11.0,11.0,41.0,28.0,7.0,14.0,6.0,21.0,51.0,50.0,13.0,44.0,23.0,17.0,25.0,10.0,39.0
special_eb_459_volume_A.xls,severity_of_problem,,0.02,0.02,0.02,0.05,0.03,0.03,0.03,0.04,0.06,0.03,0.01,0.01,0.01,0.05,0.01,0.02,0.04,0.03,0.01,0.01,0.01,0.02,0.05,0.05,0.01,0.04,0.02,0.02,0.02,0.01,0.03
special_eb_459_volume_A.xls,severity_of_problem,5,2483.0,91.0,71.0,178.0,89.0,96.0,138.0,37.0,199.0,125.0,50.0,48.0,89.0,86.0,38.0,63.0,175.0,126.0,51.0,68.0,42.0,76.0,85.0,161.0,82.0,108.0,126.0,122.0,95.0,61.0,159.0
