source,question,answer/countries,"UE28
EU28",BE,BG,CZ,DK,D-W,DE,D-E,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK
special_eb_459_volume_A.xls,who_is_responsible,TOTAL,27901.0,1023.0,1044.0,1058.0,1000.0,1022.0,1537.0,515.0,1017.0,1021.0,1010.0,1024.0,1004.0,1048.0,1022.0,501.0,1004.0,1001.0,510.0,1053.0,500.0,1015.0,1001.0,1008.0,1061.0,1033.0,1027.0,1014.0,1012.0,1007.0,1346.0
special_eb_459_volume_A.xls,who_is_responsible,Les gouvernements nationaux,12010.0,481.0,442.0,569.0,534.0,343.0,508.0,159.0,346.0,500.0,550.0,476.0,531.0,379.0,434.0,222.0,353.0,412.0,223.0,362.0,278.0,691.0,448.0,413.0,527.0,391.0,361.0,471.0,501.0,698.0,418.0
special_eb_459_volume_A.xls,who_is_responsible,National governments,0.43,0.47,0.42,0.54,0.53,0.34,0.33,0.31,0.34,0.49,0.54,0.47,0.53,0.36,0.42,0.44,0.35,0.41,0.44,0.34,0.56,0.68,0.45,0.41,0.5,0.38,0.35,0.46,0.5,0.69,0.31
special_eb_459_volume_A.xls,who_is_responsible,L'Union européenne,10781.0,569.0,327.0,410.0,523.0,343.0,532.0,200.0,237.0,446.0,441.0,480.0,517.0,384.0,315.0,185.0,227.0,336.0,252.0,294.0,264.0,691.0,447.0,335.0,407.0,336.0,354.0,357.0,469.0,670.0,306.0
special_eb_459_volume_A.xls,who_is_responsible,The European Union,0.39,0.56,0.31,0.39,0.52,0.34,0.35,0.39,0.23,0.44,0.44,0.47,0.51,0.37,0.31,0.37,0.23,0.34,0.49,0.28,0.53,0.68,0.45,0.33,0.38,0.32,0.34,0.35,0.46,0.67,0.23
special_eb_459_volume_A.xls,who_is_responsible,Les autorités régionales et locales,6172.0,300.0,265.0,233.0,279.0,152.0,231.0,80.0,151.0,304.0,254.0,259.0,264.0,212.0,196.0,132.0,155.0,270.0,127.0,190.0,160.0,262.0,332.0,234.0,381.0,382.0,201.0,206.0,248.0,408.0,165.0
special_eb_459_volume_A.xls,who_is_responsible,Regional and local authorities,0.22,0.29,0.25,0.22,0.28,0.15,0.15,0.16,0.15,0.3,0.25,0.25,0.26,0.2,0.19,0.26,0.15,0.27,0.25,0.18,0.32,0.26,0.33,0.23,0.36,0.37,0.2,0.2,0.25,0.41,0.12
special_eb_459_volume_A.xls,who_is_responsible,Les entreprises et l'industrie,10665.0,510.0,437.0,581.0,467.0,377.0,579.0,210.0,347.0,348.0,511.0,441.0,427.0,352.0,301.0,236.0,400.0,439.0,266.0,511.0,163.0,643.0,493.0,286.0,504.0,432.0,494.0,564.0,599.0,522.0,256.0
special_eb_459_volume_A.xls,who_is_responsible,Business and industry,0.38,0.5,0.42,0.55,0.47,0.37,0.38,0.41,0.34,0.34,0.51,0.43,0.43,0.34,0.29,0.47,0.4,0.44,0.52,0.49,0.33,0.63,0.49,0.28,0.48,0.42,0.48,0.56,0.59,0.52,0.19
special_eb_459_volume_A.xls,who_is_responsible,Vous personnellement,6159.0,412.0,111.0,181.0,392.0,239.0,360.0,122.0,148.0,369.0,175.0,217.0,331.0,153.0,88.0,162.0,174.0,276.0,225.0,139.0,146.0,561.0,312.0,117.0,198.0,185.0,166.0,194.0,427.0,593.0,184.0
special_eb_459_volume_A.xls,who_is_responsible,You personally,0.22,0.4,0.11,0.17,0.39,0.23,0.23,0.24,0.15,0.36,0.17,0.21,0.33,0.15,0.09,0.32,0.17,0.28,0.44,0.13,0.29,0.55,0.31,0.12,0.19,0.18,0.16,0.19,0.42,0.59,0.14
special_eb_459_volume_A.xls,who_is_responsible,Les groupes environnementaux,5777.0,317.0,221.0,250.0,231.0,129.0,193.0,63.0,216.0,299.0,190.0,185.0,335.0,274.0,175.0,127.0,302.0,394.0,157.0,173.0,157.0,214.0,375.0,206.0,254.0,299.0,248.0,170.0,279.0,281.0,176.0
special_eb_459_volume_A.xls,who_is_responsible,Environmental groups,0.21,0.31,0.21,0.24,0.23,0.13,0.13,0.12,0.21,0.29,0.19,0.18,0.33,0.26,0.17,0.25,0.3,0.39,0.31,0.16,0.31,0.21,0.37,0.2,0.24,0.29,0.24,0.17,0.28,0.28,0.13
special_eb_459_volume_A.xls,who_is_responsible,Autre (SPONTANE),332.0,6.0,10.0,21.0,8.0,7.0,9.0,0.0,20.0,18.0,14.0,4.0,10.0,12.0,27.0,8.0,38.0,26.0,4.0,8.0,2.0,13.0,16.0,20.0,14.0,24.0,21.0,23.0,10.0,17.0,1.0
special_eb_459_volume_A.xls,who_is_responsible,Other (SPONTANEOUS),0.01,0.01,0.01,0.02,0.01,0.01,0.01,- ,0.02,0.02,0.01,0.0,0.01,0.01,0.03,0.02,0.04,0.03,0.01,0.01,0.0,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.0
special_eb_459_volume_A.xls,who_is_responsible,Tous (SPONTANE),5628.0,61.0,253.0,77.0,171.0,377.0,562.0,183.0,203.0,111.0,227.0,220.0,37.0,140.0,199.0,82.0,82.0,168.0,63.0,147.0,104.0,32.0,169.0,176.0,209.0,74.0,181.0,61.0,134.0,74.0,496.0
special_eb_459_volume_A.xls,who_is_responsible,All of them (SPONTANEOUS),0.2,0.06,0.24,0.07,0.17,0.37,0.37,0.35,0.2,0.11,0.22,0.21,0.04,0.13,0.19,0.16,0.08,0.17,0.12,0.14,0.21,0.03,0.17,0.17,0.2,0.07,0.18,0.06,0.13,0.07,0.37
special_eb_459_volume_A.xls,who_is_responsible,Aucun (SPONTANE),368.0,1.0,13.0,11.0,1.0,8.0,18.0,14.0,25.0,3.0,2.0,7.0,9.0,4.0,20.0,9.0,30.0,20.0,4.0,46.0,4.0,4.0,4.0,21.0,0.0,22.0,10.0,4.0,4.0,6.0,27.0
special_eb_459_volume_A.xls,who_is_responsible,None (SPONTANEOUS),0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.03,0.02,0.0,0.0,0.01,0.01,0.0,0.02,0.02,0.03,0.02,0.01,0.04,0.01,0.0,0.0,0.02,- ,0.02,0.01,0.0,0.0,0.01,0.02
special_eb_459_volume_A.xls,who_is_responsible,NSP,1484.0,7.0,121.0,40.0,22.0,32.0,42.0,7.0,102.0,28.0,3.0,36.0,50.0,45.0,87.0,16.0,35.0,20.0,14.0,47.0,14.0,10.0,18.0,81.0,50.0,64.0,19.0,54.0,17.0,14.0,139.0
special_eb_459_volume_A.xls,who_is_responsible,DK,0.05,0.01,0.12,0.04,0.02,0.03,0.03,0.01,0.1,0.03,0.0,0.04,0.05,0.04,0.08,0.03,0.03,0.02,0.03,0.04,0.03,0.01,0.02,0.08,0.05,0.06,0.02,0.05,0.02,0.01,0.1
