source,question,answer/countries,"UE28
EU28","UE28-UK
EU28-UK",BE,BG,CZ,DK,D-W,DE,D-E,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK
special_eb_490_volume_A.xls,who_is_responsible,TOTAL,27655.0,26603.0,1029.0,1041.0,1019.0,1019.0,1037.0,1539.0,502.0,999.0,1067.0,1014.0,1011.0,1029.0,1016.0,1022.0,504.0,1003.0,1001.0,502.0,1023.0,507.0,1022.0,1039.0,1013.0,1012.0,1053.0,1003.0,1076.0,1006.0,1034.0,1052.0
special_eb_490_volume_A.xls,who_is_responsible,Les gouvernements nationaux,15078.0,14173.0,558.0,499.0,572.0,655.0,550.0,790.0,222.0,514.0,517.0,679.0,558.0,594.0,443.0,462.0,255.0,465.0,449.0,230.0,436.0,333.0,729.0,426.0,507.0,605.0,485.0,369.0,624.0,653.0,809.0,668.0
special_eb_490_volume_A.xls,who_is_responsible,National governments,0.55,0.53,0.54,0.48,0.56,0.64,0.53,0.51,0.44,0.51,0.48,0.67,0.55,0.58,0.44,0.45,0.5,0.46,0.45,0.46,0.43,0.66,0.71,0.41,0.5,0.6,0.46,0.37,0.58,0.65,0.78,0.63
special_eb_490_volume_A.xls,who_is_responsible,L'Union européenne,13556.0,13190.0,654.0,401.0,436.0,613.0,550.0,799.0,237.0,391.0,475.0,569.0,490.0,593.0,485.0,437.0,213.0,338.0,355.0,259.0,347.0,299.0,680.0,492.0,372.0,571.0,450.0,394.0,532.0,570.0,749.0,473.0
special_eb_490_volume_A.xls,who_is_responsible,The European Union,0.49,0.5,0.64,0.39,0.43,0.6,0.53,0.52,0.47,0.39,0.45,0.56,0.48,0.58,0.48,0.43,0.42,0.34,0.36,0.52,0.34,0.59,0.67,0.47,0.37,0.56,0.43,0.39,0.49,0.57,0.72,0.45
special_eb_490_volume_A.xls,who_is_responsible,Les autorités régionales et locales,9197.0,8706.0,369.0,301.0,211.0,377.0,358.0,535.0,179.0,294.0,352.0,388.0,340.0,320.0,323.0,271.0,158.0,254.0,284.0,151.0,261.0,209.0,301.0,348.0,322.0,495.0,447.0,274.0,398.0,307.0,510.0,390.0
special_eb_490_volume_A.xls,who_is_responsible,Regional and local authorities,0.33,0.33,0.36,0.29,0.21,0.37,0.35,0.35,0.36,0.29,0.33,0.38,0.34,0.31,0.32,0.26,0.31,0.25,0.28,0.3,0.25,0.41,0.29,0.34,0.32,0.49,0.42,0.27,0.37,0.3,0.49,0.37
special_eb_490_volume_A.xls,who_is_responsible,Les entreprises et l'industrie,13992.0,13729.0,601.0,531.0,552.0,589.0,653.0,952.0,288.0,431.0,416.0,649.0,522.0,546.0,469.0,423.0,265.0,440.0,489.0,271.0,531.0,217.0,681.0,500.0,321.0,559.0,477.0,615.0,657.0,619.0,591.0,456.0
special_eb_490_volume_A.xls,who_is_responsible,Business and industry,0.51,0.52,0.58,0.51,0.54,0.58,0.63,0.62,0.57,0.43,0.39,0.64,0.52,0.53,0.46,0.41,0.53,0.44,0.49,0.54,0.52,0.43,0.67,0.48,0.32,0.55,0.45,0.61,0.61,0.62,0.57,0.43
special_eb_490_volume_A.xls,who_is_responsible,Vous personnellement,10042.0,9406.0,485.0,187.0,190.0,533.0,526.0,733.0,176.0,334.0,457.0,329.0,364.0,426.0,303.0,208.0,156.0,276.0,335.0,272.0,188.0,203.0,616.0,348.0,177.0,317.0,277.0,249.0,367.0,548.0,637.0,454.0
