nrg_bal,siec,unit,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
FC_E,TOTAL,KTOE,AL	1672.393 	1740.442 	1840.737 	1897.918 	1953.468 	1790.583 	1961.866 	2058.559 	1963.484 	1883.404 	2071.754 	: 
FC_E,TOTAL,KTOE,AT	24903.452 	24915.586 	24311.062 	25554.017 	24633.736 	24594.842 	25659.735 	24739.792 	25306.309 	25708.150 	26212.918 	: 
FC_E,TOTAL,KTOE,BA	: 	: 	: 	: 	: 	: 	: 	3103.624 	3316.907 	3543.934 	3498.190 	: 
FC_E,TOTAL,KTOE,BE	32854.962 	33957.746 	32956.989 	35025.296 	32259.801 	32620.978 	33974.784 	31600.520 	33114.562 	33408.589 	32935.207 	33111.011 
FC_E,TOTAL,KTOE,BG	9824.988 	9621.585 	8471.952 	8699.379 	9125.108 	9103.365 	8680.744 	8881.484 	9388.534 	9517.953 	9742.041 	9749.466 
FC_E,TOTAL,KTOE,CY	1625.838 	1670.495 	1661.850 	1645.788 	1614.212 	1492.799 	1372.455 	1377.348 	1423.923 	1490.606 	1551.546 	1581.273 
FC_E,TOTAL,KTOE,CZ	24613.094 	24597.706 	23795.341 	24121.190 	23335.873 	23322.593 	23127.716 	22441.173 	23095.813 	23692.673 	24439.395 	24180.134 
FC_E,TOTAL,KTOE,DE	197039.734 	204361.744 	194003.663 	206425.205 	196229.513 	198382.320 	203743.918 	195021.898 	198392.187 	202534.404 	204604.367 	: 
FC_E,TOTAL,KTOE,DK	14938.839 	14752.461 	14142.366 	14846.785 	14113.158 	13609.693 	13458.485 	12933.819 	13521.373 	13896.164 	14079.709 	14180.695 
FC_E,TOTAL,KTOE,EA19	780094.057 	786896.264 	749102.174 	777089.427 	738385.479 	738025.894 	740829.435 	706531.719 	721928.438 	733787.390 	741689.770 	: 
FC_E,TOTAL,KTOE,EE	3049.536 	3035.544 	2730.945 	2869.038 	2800.061 	2832.458 	2841.207 	2769.388 	2734.082 	2782.561 	2805.780 	: 
FC_E,TOTAL,KTOE,EL	21068.219 	20354.732 	19653.105 	18282.036 	18098.630 	16310.219 	14608.463 	14742.647 	15678.203 	15815.005 	16054.234 	: 
FC_E,TOTAL,KTOE,ES	93937.419 	90434.218 	83936.267 	85156.547 	81957.200 	78446.010 	75859.230 	74943.175 	75960.969 	78005.390 	79397.426 	: 
FC_E,TOTAL,KTOE,EU28	1101852.292 	1108937.482 	1056268.050 	1098612.491 	1045569.746 	1047081.027 	1046940.430 	1001628.182 	1024858.172 	1046348.137 	1060037.262 	: 
