unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
EUR_KGOE,AL	2.831 	3.003 	2.842 	3.063 	2.945 	3.091 	3.376 	3.797 	3.922 	3.995 	4.180 	4.109 	4.625 	3.961 	4.048 	4.429 	4.445 	4.385 
EUR_KGOE,AT	8.691 	8.341 	8.430 	8.086 	8.152 	8.100 	8.345 	8.819 	8.881 	9.007 	8.609 	9.121 	9.239 	9.028 	9.384 	9.318 	9.432 	9.486 
EUR_KGOE,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.240 	2.241 	2.112 	2.183 
EUR_KGOE,BE	4.800 	4.886 	5.016 	4.815 	4.958 	5.102 	5.231 	5.415 	5.289 	5.563 	5.309 	5.792 	6.124 	5.935 	6.391 	6.455 	6.142 	6.190 
EUR_KGOE,BG	1.305 	1.284 	1.398 	1.439 	1.574 	1.593 	1.653 	1.809 	1.941 	2.127 	2.128 	2.028 	2.115 	2.288 	2.225 	2.203 	2.339 	2.346 
EUR_KGOE,CY	5.349 	5.509 	5.792 	5.518 	6.329 	6.010 	6.067 	6.172 	6.132 	6.229 	6.562 	6.670 	6.895 	7.281 	7.074 	7.044 	6.821 	6.940 
EUR_KGOE,CZ	2.779 	2.786 	2.800 	2.772 	2.835 	3.051 	3.188 	3.374 	3.531 	3.578 	3.437 	3.643 	3.641 	3.603 	3.834 	4.022 	4.161 	4.193 
EUR_KGOE,DE	6.844 	6.766 	6.915 	6.870 	6.906 	6.985 	7.042 	7.647 	7.664 	7.718 	7.649 	8.349 	8.348 	8.213 	8.711 	8.803 	8.917 	9.038 
EUR_KGOE,DK	10.832 	10.728 	11.037 	10.493 	11.145 	11.684 	11.239 	11.552 	11.842 	12.061 	11.525 	12.530 	13.150 	13.166 	13.987 	14.293 	14.340 	14.485 
EUR_KGOE,EA19	6.797 	6.769 	6.823 	6.712 	6.761 	6.846 	7.028 	7.338 	7.392 	7.487 	7.396 	7.778 	7.803 	7.860 	8.268 	8.313 	8.420 	8.483 
