geo\time	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	TARGET 
AL	29.620 	31.367 	32.070 	32.657 	32.448 	31.437 	31.867 	31.187 	35.153 	33.167 	31.476 	34.387 	37.093 	34.569 	: 
AT	22.659 	23.695 	25.346 	26.987 	27.628 	29.785 	29.928 	30.123 	31.031 	31.963 	33.202 	32.770 	33.037 	32.558 	34 
BE	1.891 	2.334 	2.635 	3.103 	3.591 	4.716 	5.646 	6.293 	7.183 	7.538 	8.002 	7.943 	8.648 	9.058 	13 
BG	9.445 	9.354 	9.571 	9.238 	10.492 	12.148 	14.071 	14.293 	16.049 	18.952 	18.038 	18.210 	18.805 	18.734 	16 
CY	3.069 	3.129 	3.261 	4.002 	5.132 	5.588 	5.959 	5.994 	6.767 	8.116 	8.929 	9.378 	9.343 	9.850 	13 
CZ	6.855 	7.094 	7.389 	7.956 	8.626 	9.922 	10.523 	10.952 	12.826 	13.893 	15.033 	15.022 	14.871 	14.760 	13 
DE	6.181 	7.131 	8.438 	10.017 	10.043 	10.824 	11.666 	12.472 	13.601 	13.824 	14.418 	14.918 	14.890 	15.452 	18 
DK	14.853 	15.969 	16.349 	17.764 	18.564 	19.971 	22.149 	23.509 	25.748 	27.445 	29.657 	31.387 	32.601 	35.772 	30 
EE	18.363 	17.388 	15.941 	17.027 	18.629 	22.912 	24.556 	25.374 	25.543 	25.368 	26.240 	28.350 	28.641 	29.210 	25 
EL	6.876 	7.016 	7.183 	8.127 	7.991 	8.479 	9.812 	10.886 	13.460 	15.011 	15.366 	15.387 	15.082 	16.951 	18 
ES	8.328 	8.429 	9.141 	9.655 	10.737 	12.963 	13.810 	13.224 	14.286 	15.320 	16.126 	16.217 	17.356 	17.511 	20 
EU27	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20 
EU28	8.534 	9.093 	9.674 	10.602 	11.325 	12.581 	13.118 	13.374 	14.678 	15.402 	16.190 	16.716 	17.021 	17.526 	20 
FI	29.232 	28.814 	30.043 	29.561 	31.350 	31.333 	32.428 	32.776 	34.424 	36.735 	38.794 	39.322 	39.048 	41.009 	38 
FR	9.504 	9.596 	9.334 	10.239 	11.185 	12.219 	12.668 	11.105 	13.618 	14.243 	14.770 	15.187 	15.933 	16.30 	23 
HR	23.408 	23.731 	22.703 	22.160 	21.984 	23.595 	25.10 	25.387 	26.754 	28.036 	27.812 	28.965 	28.263 	27.275 	20 
HU	4.364 	6.931 	7.433 	8.575 	8.564 	11.673 	12.742 	13.972 	15.530 	16.205 	14.569 	14.427 	14.268 	13.335 	13 
IE	2.378 	2.825 	3.142 	3.507 	3.980 	5.178 	5.785 	6.587 	7.096 	7.621 	8.684 	9.104 	9.262 	10.651 	16 
IS	58.821 	60.035 	60.744 	71.395 	67.337 	69.583 	70.251 	71.461 	72.382 	71.649 	70.474 	70.258 	72.658 	71.571 	: 
IT	6.316 	7.549 	8.328 	9.807 	11.492 	12.775 	13.023 	12.881 	15.441 	16.741 	17.082 	17.525 	17.415 	18.267 	17 
LT	17.223 	16.769 	16.890 	16.483 	17.824 	19.798 	19.639 	19.945 	21.437 	22.689 	23.593 	25.751 	25.614 	25.835 	23 
LU	0.900 	1.404 	1.471 	2.729 	2.815 	2.940 	2.864 	2.874 	3.140 	3.531 	4.512 	5.050 	5.439 	6.380 	11 
LV	32.794 	32.264 	31.141 	29.615 	29.811 	34.317 	30.375 	33.478 	35.709 	37.037 	38.628 	37.539 	37.138 	39.010 	40 
ME	: 	35.694 	34.842 	32.925 	32.290 	39.371 	40.640 	40.648 	41.513 	43.696 	44.098 	43.073 	41.549 	40.025 	: 
MK	15.702 	16.466 	16.527 	14.976 	15.555 	17.238 	16.451 	16.407 	18.128 	18.509 	19.559 	19.527 	18.044 	19.650 	: 
MT	0.102 	0.123 	0.149 	0.177 	0.195 	0.221 	1.010 	1.823 	2.822 	3.709 	4.735 	5.150 	6.195 	7.170 	10 
NL	2.048 	2.498 	2.800 	3.319 	3.614 	4.277 	3.918 	4.527 	4.691 	4.738 	5.492 	5.742 	5.936 	6.604 	14 
NO	58.027 	59.698 	60.172 	60.083 	61.679 	64.753 	61.208 	63.870 	64.235 	66.184 	68.922 	68.712 	69.822 	71.177 	: 
PL	6.914 	6.895 	6.877 	6.921 	7.597 	8.661 	9.253 	10.295 	10.897 	11.368 	11.495 	11.743 	11.267 	10.903 	15 
PT	19.209 	19.526 	20.787 	21.924 	22.943 	24.421 	24.165 	24.616 	24.579 	25.700 	26.988 	28.034 	28.416 	28.115 	31 
RO	16.188 	17.218 	17.096 	18.323 	20.529 	22.687 	23.147 	21.231 	22.789 	23.886 	24.845 	24.785 	25.032 	24.468 	24 
RS	12.724 	14.257 	14.542 	14.327 	15.888 	21.024 	19.763 	19.118 	20.790 	21.096 	22.866 	21.851 	20.985 	20.607 	: 
SE	38.671 	40.528 	42.603 	44.126 	45.216 	48.142 	47.183 	48.728 	51.081 	51.923 	52.404 	53.640 	53.758 	54.499 	49 
