source,question,answer/countries,"UE27
EU27",BE,BG,CZ,DK,D-W,DE,D-E,EE,EL,ES,FR,IE,IT,CY,CY (tcc),LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,HR,TR,MK
special_eb_300_volume_A.xls,most_serious_problem,TOTAL,13436.0,492.0,512.0,501.0,492.0,515.0,764.0,245.0,517.0,502.0,566.0,525.0,496.0,516.0,262.0,261.0,512.0,499.0,255.0,496.0,251.0,509.0,485.0,503.0,510.0,500.0,514.0,566.0,473.0,502.0,646.0,502.0,505.0,504.0
special_eb_300_volume_A.xls,most_serious_problem,Le réchauffement de la planète,4060.0,155.0,103.0,116.0,151.0,152.0,225.0,73.0,145.0,227.0,145.0,211.0,151.0,128.0,148.0,145.0,199.0,139.0,90.0,173.0,78.0,124.0,157.0,140.0,117.0,153.0,250.0,164.0,177.0,170.0,204.0,131.0,152.0,144.0
special_eb_300_volume_A.xls,most_serious_problem,Global warming ,0.3,0.32,0.2,0.23,0.31,0.29,0.29,0.29,0.28,0.45,0.26,0.4,0.3,0.25,0.56,0.56,0.39,0.28,0.35,0.35,0.31,0.24,0.32,0.28,0.23,0.31,0.48,0.29,0.38,0.34,0.32,0.26,0.3,0.29
special_eb_300_volume_A.xls,most_serious_problem,Le terrorisme international ,2233.0,85.0,148.0,131.0,73.0,55.0,86.0,34.0,104.0,13.0,148.0,47.0,56.0,110.0,13.0,42.0,81.0,86.0,31.0,41.0,65.0,65.0,66.0,87.0,66.0,73.0,43.0,111.0,47.0,35.0,151.0,89.0,97.0,81.0
special_eb_300_volume_A.xls,most_serious_problem,International terrorism,0.17,0.17,0.29,0.26,0.15,0.11,0.11,0.14,0.2,0.03,0.26,0.09,0.11,0.21,0.05,0.16,0.16,0.17,0.12,0.08,0.26,0.13,0.14,0.17,0.13,0.15,0.08,0.2,0.1,0.07,0.23,0.18,0.19,0.16
special_eb_300_volume_A.xls,most_serious_problem,"La pauvreté, le manque de nourriture et d’eau potable",3900.0,168.0,117.0,89.0,173.0,188.0,275.0,83.0,90.0,172.0,165.0,168.0,110.0,160.0,69.0,32.0,95.0,64.0,89.0,152.0,57.0,206.0,122.0,111.0,199.0,116.0,153.0,140.0,132.0,178.0,126.0,178.0,145.0,156.0
special_eb_300_volume_A.xls,most_serious_problem,"Poverty, lack of food and drinking water",0.29,0.34,0.23,0.18,0.35,0.36,0.36,0.34,0.17,0.34,0.29,0.32,0.22,0.31,0.26,0.12,0.18,0.13,0.35,0.31,0.23,0.4,0.25,0.22,0.39,0.23,0.3,0.25,0.28,0.35,0.2,0.36,0.29,0.31
special_eb_300_volume_A.xls,most_serious_problem,La propagation d’une maladie infectieuse,462.0,16.0,11.0,39.0,6.0,10.0,17.0,9.0,28.0,9.0,1.0,14.0,26.0,32.0,3.0,5.0,26.0,33.0,7.0,13.0,20.0,6.0,23.0,38.0,23.0,17.0,15.0,17.0,19.0,17.0,20.0,12.0,3.0,21.0
special_eb_300_volume_A.xls,most_serious_problem,The spread of an infectious disease ,0.04,0.03,0.02,0.08,0.01,0.02,0.02,0.04,0.05,0.02,- ,0.02,0.05,0.06,0.01,0.02,0.05,0.07,0.03,0.03,0.08,0.01,0.05,0.08,0.05,0.03,0.03,0.03,0.04,0.03,0.03,0.02,0.01,0.04
special_eb_300_volume_A.xls,most_serious_problem,Un important recul de l’économie mondiale,589.0,23.0,36.0,27.0,21.0,23.0,34.0,12.0,34.0,37.0,11.0,18.0,56.0,25.0,5.0,13.0,29.0,68.0,4.0,37.0,5.0,10.0,36.0,16.0,38.0,42.0,14.0,26.0,14.0,6.0,26.0,26.0,15.0,36.0
