source,question,answer/countries,"UE28
EU28",BE,BG,CZ,DK,D-W,DE,D-E,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK
special_eb_435_volume_A.xls,most_serious_problem,TOTAL,27718.0,1012.0,1058.0,1008.0,1016.0,1008.0,1513.0,505.0,1018.0,1004.0,1009.0,1000.0,1000.0,1003.0,1040.0,500.0,1003.0,1004.0,503.0,1051.0,500.0,1008.0,1035.0,1005.0,1005.0,1012.0,1019.0,1016.0,1004.0,1066.0,1306.0
special_eb_435_volume_A.xls,most_serious_problem,Le changement climatique,4253.0,151.0,132.0,84.0,302.0,259.0,385.0,123.0,64.0,155.0,87.0,79.0,178.0,173.0,89.0,54.0,68.0,119.0,89.0,151.0,82.0,156.0,201.0,112.0,48.0,117.0,252.0,129.0,260.0,393.0,186.0
special_eb_435_volume_A.xls,most_serious_problem,Climate change,0.15,0.15,0.13,0.08,0.3,0.26,0.26,0.24,0.06,0.15,0.09,0.08,0.18,0.17,0.09,0.11,0.07,0.12,0.18,0.14,0.16,0.16,0.19,0.11,0.05,0.12,0.25,0.13,0.26,0.37,0.14
special_eb_435_volume_A.xls,most_serious_problem,Le terrorisme international,5310.0,270.0,162.0,239.0,181.0,202.0,302.0,100.0,185.0,146.0,50.0,84.0,236.0,97.0,248.0,58.0,142.0,113.0,105.0,96.0,200.0,226.0,113.0,202.0,82.0,103.0,88.0,168.0,144.0,128.0,360.0
special_eb_435_volume_A.xls,most_serious_problem,International terrorism,0.19,0.27,0.15,0.24,0.18,0.2,0.2,0.2,0.18,0.15,0.05,0.08,0.24,0.1,0.24,0.12,0.14,0.11,0.21,0.09,0.4,0.22,0.11,0.2,0.08,0.1,0.09,0.16,0.14,0.12,0.28
special_eb_435_volume_A.xls,most_serious_problem,"La pauvreté, la faim et le manque d’eau potable",8413.0,294.0,276.0,217.0,286.0,288.0,426.0,134.0,179.0,416.0,413.0,511.0,361.0,338.0,174.0,155.0,230.0,262.0,189.0,360.0,115.0,312.0,254.0,180.0,475.0,367.0,353.0,282.0,238.0,297.0,391.0
special_eb_435_volume_A.xls,most_serious_problem,"Poverty, hunger and lack of drinking water",0.3,0.29,0.26,0.22,0.28,0.29,0.28,0.26,0.18,0.41,0.41,0.51,0.36,0.34,0.17,0.31,0.23,0.26,0.38,0.34,0.23,0.31,0.25,0.18,0.47,0.36,0.35,0.28,0.24,0.28,0.3
special_eb_435_volume_A.xls,most_serious_problem,La propagation de maladies infectieuses,782.0,16.0,35.0,48.0,14.0,13.0,20.0,8.0,15.0,38.0,23.0,4.0,15.0,28.0,53.0,21.0,41.0,40.0,7.0,73.0,23.0,10.0,64.0,42.0,30.0,70.0,14.0,39.0,33.0,23.0,35.0
special_eb_435_volume_A.xls,most_serious_problem,Spread of infectious diseases,0.03,0.01,0.03,0.05,0.01,0.01,0.01,0.02,0.02,0.04,0.02,0.01,0.02,0.03,0.05,0.04,0.04,0.04,0.01,0.07,0.05,0.01,0.06,0.04,0.03,0.07,0.01,0.04,0.03,0.02,0.03
special_eb_435_volume_A.xls,most_serious_problem,La situation économique,4300.0,138.0,257.0,167.0,37.0,51.0,76.0,24.0,174.0,136.0,363.0,260.0,118.0,267.0,335.0,171.0,166.0,209.0,33.0,205.0,32.0,58.0,197.0,129.0,218.0,244.0,189.0,198.0,58.0,32.0,84.0
special_eb_435_volume_A.xls,most_serious_problem,The economic situation,0.16,0.14,0.25,0.17,0.04,0.05,0.05,0.05,0.17,0.14,0.36,0.26,0.12,0.27,0.32,0.34,0.16,0.21,0.06,0.2,0.06,0.06,0.19,0.13,0.22,0.24,0.18,0.19,0.06,0.03,0.06
special_eb_435_volume_A.xls,most_serious_problem,La prolifération d’armes nucléaires,579.0,32.0,32.0,40.0,11.0,18.0,30.0,13.0,24.0,21.0,11.0,6.0,11.0,15.0,28.0,10.0,21.0,42.0,13.0,33.0,9.0,8.0,33.0,51.0,35.0,18.0,17.0,19.0,54.0,11.0,16.0
special_eb_435_volume_A.xls,most_serious_problem,Proliferation of nuclear weapons,0.02,0.03,0.03,0.04,0.01,0.02,0.02,0.03,0.02,0.02,0.01,0.01,0.01,0.02,0.03,0.02,0.02,0.04,0.03,0.03,0.02,0.01,0.03,0.05,0.03,0.02,0.02,0.02,0.05,0.01,0.01
special_eb_435_volume_A.xls,most_serious_problem,Les conflits armés,2437.0,57.0,117.0,146.0,93.0,101.0,162.0,69.0,259.0,59.0,30.0,24.0,43.0,54.0,68.0,22.0,259.0,180.0,35.0,32.0,18.0,123.0,100.0,241.0,94.0,56.0,32.0,130.0,128.0,104.0,103.0
