source,question,answer/countries,"UE28
EU28","UE28-UK
EU28-UK",BE,BG,CZ,DK,D-W,DE,D-E,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK
special_eb_490_volume_A.xls,most_serious_problem,TOTAL,27655.0,26603.0,1029.0,1041.0,1019.0,1019.0,1037.0,1539.0,502.0,999.0,1067.0,1014.0,1011.0,1029.0,1016.0,1022.0,504.0,1003.0,1001.0,502.0,1023.0,507.0,1022.0,1039.0,1013.0,1012.0,1053.0,1003.0,1076.0,1006.0,1034.0,1052.0
special_eb_490_volume_A.xls,most_serious_problem,Le changement climatique,6288.0,5805.0,239.0,103.0,149.0,483.0,341.0,465.0,97.0,161.0,274.0,114.0,185.0,233.0,113.0,195.0,72.0,106.0,143.0,114.0,173.0,166.0,274.0,277.0,147.0,188.0,113.0,193.0,144.0,336.0,519.0,308.0
special_eb_490_volume_A.xls,most_serious_problem,Climate change,0.23,0.22,0.23,0.1,0.15,0.47,0.33,0.3,0.19,0.16,0.26,0.11,0.18,0.23,0.11,0.19,0.14,0.11,0.14,0.23,0.17,0.33,0.27,0.27,0.15,0.19,0.11,0.19,0.13,0.33,0.5,0.29
special_eb_490_volume_A.xls,most_serious_problem,Le terrorisme international,4222.0,4007.0,117.0,255.0,232.0,144.0,137.0,219.0,92.0,219.0,178.0,79.0,67.0,177.0,152.0,166.0,68.0,200.0,154.0,54.0,125.0,138.0,163.0,139.0,231.0,130.0,169.0,162.0,139.0,131.0,94.0,176.0
special_eb_490_volume_A.xls,most_serious_problem,International terrorism,0.15,0.15,0.12,0.25,0.23,0.14,0.13,0.14,0.18,0.22,0.17,0.08,0.07,0.17,0.15,0.16,0.14,0.2,0.16,0.11,0.12,0.27,0.16,0.13,0.23,0.13,0.16,0.16,0.13,0.13,0.09,0.17
special_eb_490_volume_A.xls,most_serious_problem,"La pauvreté, la faim et le manque d'eau potable",7367.0,7171.0,328.0,237.0,229.0,165.0,241.0,368.0,134.0,173.0,303.0,353.0,455.0,394.0,309.0,155.0,147.0,169.0,193.0,201.0,299.0,76.0,243.0,224.0,181.0,378.0,239.0,301.0,276.0,172.0,190.0,256.0
special_eb_490_volume_A.xls,most_serious_problem,"Poverty, hunger and lack of drinking water",0.27,0.27,0.32,0.23,0.22,0.16,0.23,0.24,0.27,0.17,0.28,0.35,0.45,0.38,0.31,0.15,0.29,0.17,0.19,0.4,0.29,0.15,0.24,0.22,0.18,0.37,0.23,0.3,0.26,0.17,0.18,0.24
special_eb_490_volume_A.xls,most_serious_problem,La propagation de maladies infectieuses,881.0,929.0,23.0,46.0,71.0,10.0,19.0,31.0,15.0,25.0,45.0,48.0,9.0,16.0,33.0,45.0,41.0,46.0,108.0,13.0,101.0,26.0,14.0,50.0,59.0,16.0,109.0,39.0,94.0,18.0,13.0,10.0
special_eb_490_volume_A.xls,most_serious_problem,Spread of infectious diseases,0.03,0.03,0.02,0.04,0.07,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.01,0.02,0.03,0.04,0.08,0.05,0.11,0.03,0.1,0.05,0.01,0.05,0.06,0.02,0.1,0.04,0.09,0.02,0.01,0.01
special_eb_490_volume_A.xls,most_serious_problem,La situation économique,3331.0,3379.0,113.0,155.0,61.0,13.0,40.0,65.0,29.0,72.0,112.0,278.0,168.0,93.0,205.0,302.0,91.0,149.0,120.0,25.0,117.0,27.0,31.0,98.0,68.0,174.0,241.0,111.0,154.0,29.0,29.0,77.0
special_eb_490_volume_A.xls,most_serious_problem,The economic situation,0.12,0.13,0.11,0.15,0.06,0.01,0.04,0.04,0.06,0.07,0.11,0.27,0.16,0.09,0.2,0.3,0.18,0.15,0.12,0.05,0.12,0.05,0.03,0.09,0.07,0.17,0.23,0.11,0.14,0.03,0.03,0.07
special_eb_490_volume_A.xls,most_serious_problem,La prolifération d'armes nucléaires,1151.0,1131.0,27.0,66.0,58.0,20.0,40.0,62.0,23.0,47.0,45.0,48.0,18.0,25.0,72.0,45.0,29.0,71.0,101.0,27.0,52.0,8.0,33.0,44.0,96.0,35.0,46.0,41.0,76.0,70.0,17.0,37.0
special_eb_490_volume_A.xls,most_serious_problem,Proliferation of nuclear weapons,0.04,0.04,0.03,0.06,0.06,0.02,0.04,0.04,0.05,0.05,0.04,0.05,0.02,0.02,0.07,0.05,0.06,0.07,0.1,0.05,0.05,0.02,0.03,0.04,0.09,0.03,0.04,0.04,0.07,0.07,0.02,0.04
special_eb_490_volume_A.xls,most_serious_problem,Les conflits armés,2130.0,2113.0,75.0,118.0,102.0,48.0,96.0,149.0,57.0,175.0,42.0,55.0,70.0,40.0,101.0,60.0,44.0,185.0,143.0,30.0,53.0,8.0,89.0,92.0,166.0,52.0,68.0,61.0,122.0,83.0,57.0,63.0
special_eb_490_volume_A.xls,most_serious_problem,Armed conflicts,0.08,0.08,0.07,0.11,0.1,0.05,0.09,0.1,0.11,0.18,0.04,0.05,0.07,0.04,0.1,0.06,0.09,0.18,0.14,0.06,0.05,0.02,0.09,0.09,0.16,0.05,0.07,0.06,0.11,0.08,0.06,0.06
special_eb_490_volume_A.xls,most_serious_problem,L'augmentation de la population mondiale,1830.0,1658.0,104.0,36.0,102.0,120.0,99.0,145.0,46.0,92.0,51.0,23.0,21.0,43.0,23.0,48.0,10.0,40.0,24.0,33.0,100.0,48.0,167.0,102.0,39.0,16.0,47.0,72.0,53.0,156.0,108.0,99.0
