source,question,answer/countries,"UE27
EU27",BE,BG,CZ,DK,D-W,DE,D-E,EE,IE,EL,ES,FR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK
special_eb_322_volume_A.xls,personally_taken_action,TOTAL,16754.0,646.0,210.0,578.0,574.0,716.0,1059.0,337.0,481.0,751.0,672.0,733.0,612.0,658.0,390.0,329.0,366.0,401.0,482.0,398.0,645.0,747.0,479.0,618.0,398.0,806.0,537.0,640.0,812.0,997.0
special_eb_322_volume_A.xls,personally_taken_action,Vous avez acheté une voiture qui consomme moins de carburant ou qui est plus respectueuse de l’environnement,3421.0,169.0,29.0,62.0,157.0,273.0,379.0,91.0,94.0,104.0,38.0,35.0,141.0,132.0,44.0,40.0,43.0,162.0,31.0,60.0,144.0,128.0,69.0,24.0,48.0,172.0,76.0,152.0,249.0,216.0
special_eb_322_volume_A.xls,personally_taken_action,"You have purchased a car that consumes less fuel, or is more environmentally friendly",0.2,0.26,0.14,0.11,0.27,0.38,0.36,0.27,0.2,0.14,0.06,0.05,0.23,0.2,0.11,0.12,0.12,0.4,0.06,0.15,0.22,0.17,0.14,0.04,0.12,0.21,0.14,0.24,0.31,0.22
special_eb_322_volume_A.xls,personally_taken_action,"Vous utilisez votre voiture moins souvent, en pratiquant, par exemple, le covoiturage ou en utilisant votre voiture plus efficacement",3983.0,233.0,25.0,98.0,108.0,225.0,318.0,83.0,125.0,112.0,124.0,125.0,204.0,132.0,66.0,44.0,51.0,133.0,85.0,74.0,222.0,168.0,43.0,58.0,37.0,165.0,85.0,184.0,309.0,260.0
special_eb_322_volume_A.xls,personally_taken_action,"You are reducing the use of your car, for example by car-sharing or using your car more efficiently",0.24,0.36,0.12,0.17,0.19,0.31,0.3,0.24,0.26,0.15,0.18,0.17,0.33,0.2,0.17,0.13,0.14,0.33,0.18,0.19,0.34,0.23,0.09,0.09,0.09,0.2,0.16,0.29,0.38,0.26
special_eb_322_volume_A.xls,personally_taken_action,"Vous avez choisi un mode de déplacement ménageant l’environnement (à pied, à bicyclette, en transports publics)",4725.0,265.0,74.0,210.0,250.0,238.0,368.0,138.0,207.0,179.0,177.0,157.0,196.0,118.0,37.0,155.0,130.0,194.0,177.0,69.0,282.0,262.0,106.0,49.0,136.0,320.0,197.0,299.0,474.0,182.0
special_eb_322_volume_A.xls,personally_taken_action,"You have chosen an environmentally friendly way of transportation (by foot, bicycle, public transport)",0.28,0.41,0.35,0.36,0.44,0.33,0.35,0.41,0.43,0.24,0.26,0.21,0.32,0.18,0.1,0.47,0.35,0.48,0.37,0.17,0.44,0.35,0.22,0.08,0.34,0.4,0.37,0.47,0.58,0.18
special_eb_322_volume_A.xls,personally_taken_action,"Vous réduisez la consommation énergétique dans votre foyer (en baissant par exemple le chauffage ou la climatisation, en ne laissant pas d'appareils en mode veille, en achetant des produits à faible consommation énergétique, tels que des ampoules et des appareils basse consommation)",10597.0,424.0,116.0,421.0,479.0,545.0,800.0,247.0,263.0,460.0,445.0,372.0,406.0,348.0,278.0,124.0,169.0,299.0,334.0,294.0,492.0,493.0,254.0,340.0,206.0,551.0,365.0,477.0,599.0,622.0
special_eb_322_volume_A.xls,personally_taken_action,"You are reducing your consumption of energy at home (for example by turning down air conditioning or heating, not leaving appliances on stand-by, buying energy efficient products such as low-energy light bulbs or appliances)",0.63,0.66,0.55,0.73,0.84,0.76,0.76,0.73,0.55,0.61,0.66,0.51,0.66,0.53,0.71,0.38,0.46,0.75,0.69,0.74,0.76,0.66,0.53,0.55,0.52,0.68,0.68,0.74,0.74,0.62
special_eb_322_volume_A.xls,personally_taken_action,"Vous réduisez la consommation d’eau de votre foyer (par exemple en ne laissant pas couler l’eau pendant la vaisselle, etc.)",9136.0,390.0,91.0,378.0,408.0,496.0,732.0,232.0,295.0,321.0,456.0,364.0,428.0,309.0,305.0,162.0,198.0,285.0,321.0,291.0,271.0,341.0,235.0,345.0,195.0,553.0,325.0,384.0,350.0,374.0
special_eb_322_volume_A.xls,personally_taken_action,"You are reducing your consumption of water at home (for example not leaving water running when washing the dishes, etc.)",0.55,0.6,0.43,0.65,0.71,0.69,0.69,0.69,0.61,0.43,0.68,0.5,0.7,0.47,0.78,0.49,0.54,0.71,0.67,0.73,0.42,0.46,0.49,0.56,0.49,0.69,0.6,0.6,0.43,0.37
special_eb_322_volume_A.xls,personally_taken_action,"Dans la mesure du possible, vous évitez de prendre l'avion pour des vols court-courriers",1777.0,105.0,8.0,46.0,65.0,132.0,186.0,48.0,58.0,54.0,21.0,25.0,58.0,48.0,11.0,24.0,23.0,141.0,45.0,8.0,67.0,103.0,26.0,20.0,13.0,62.0,22.0,124.0,287.0,125.0
special_eb_322_volume_A.xls,personally_taken_action,Where possible you avoid taking short-haul flights,0.11,0.16,0.04,0.08,0.11,0.18,0.18,0.14,0.12,0.07,0.03,0.03,0.09,0.07,0.03,0.07,0.06,0.35,0.09,0.02,0.1,0.14,0.05,0.03,0.03,0.08,0.04,0.19,0.35,0.12
special_eb_322_volume_A.xls,personally_taken_action,Vous avez changé de fournisseur ou de tarif d’énergie pour recevoir une part d’énergie provenant de sources renouvelables plus importante que précédemment,1515.0,102.0,1.0,28.0,46.0,76.0,107.0,28.0,27.0,65.0,16.0,22.0,23.0,54.0,10.0,7.0,12.0,27.0,10.0,40.0,178.0,87.0,35.0,18.0,11.0,51.0,16.0,67.0,150.0,158.0
special_eb_322_volume_A.xls,personally_taken_action,You have switched to an energy supplier or tariff supplying a greater share of energy from renewable sources than your previous one,0.09,0.16,0.01,0.05,0.08,0.11,0.1,0.08,0.06,0.09,0.02,0.03,0.04,0.08,0.02,0.02,0.03,0.07,0.02,0.1,0.28,0.12,0.07,0.03,0.03,0.06,0.03,0.1,0.19,0.16
special_eb_322_volume_A.xls,personally_taken_action,Vous triez la plupart de vos déchets pour le recyclage,13149.0,560.0,105.0,472.0,385.0,626.0,932.0,304.0,376.0,654.0,430.0,573.0,554.0,457.0,216.0,173.0,224.0,347.0,250.0,305.0,513.0,617.0,283.0,438.0,149.0,650.0,388.0,523.0,667.0,867.0
special_eb_322_volume_A.xls,personally_taken_action,You are separating most of your waste for recycling ,0.78,0.87,0.5,0.82,0.67,0.88,0.88,0.9,0.78,0.87,0.64,0.78,0.91,0.7,0.55,0.53,0.61,0.87,0.52,0.77,0.8,0.83,0.59,0.71,0.38,0.81,0.72,0.82,0.82,0.87
special_eb_322_volume_A.xls,personally_taken_action,"Vous réduisez votre consommation de produits jetables (par exemple sacs plastiques, certains types d’emballage, etc.)",6811.0,364.0,48.0,256.0,245.0,408.0,586.0,165.0,252.0,335.0,125.0,115.0,333.0,253.0,51.0,151.0,127.0,245.0,162.0,197.0,271.0,419.0,210.0,131.0,147.0,390.0,164.0,290.0,435.0,324.0
special_eb_322_volume_A.xls,personally_taken_action,"You are reducing the consumption of disposable items (for example plastic bags, certain kind of packaging, etc.)",0.41,0.56,0.23,0.44,0.43,0.57,0.55,0.49,0.52,0.45,0.19,0.16,0.54,0.38,0.13,0.46,0.35,0.61,0.34,0.5,0.42,0.56,0.44,0.21,0.37,0.48,0.3,0.45,0.54,0.32
special_eb_322_volume_A.xls,personally_taken_action,"Vous achetez des produits de saison et locaux pour éviter des produits qui viennent de loin, et qui contribuent aux émissions de CO2 (à cause du transport)",4903.0,245.0,39.0,115.0,123.0,289.0,417.0,121.0,193.0,155.0,170.0,60.0,333.0,186.0,40.0,93.0,50.0,190.0,81.0,113.0,161.0,370.0,60.0,37.0,56.0,229.0,83.0,204.0,360.0,279.0
special_eb_322_volume_A.xls,personally_taken_action,"You buy seasonal and local products to avoid products that come from far away, and thus contribute to CO2 emissions (because of the transport)",0.29,0.38,0.19,0.2,0.21,0.4,0.39,0.36,0.4,0.21,0.25,0.08,0.54,0.28,0.1,0.28,0.14,0.47,0.17,0.28,0.25,0.5,0.13,0.06,0.14,0.28,0.15,0.32,0.44,0.28
special_eb_322_volume_A.xls,personally_taken_action,"Vous avez installé des appareils à votre domicile qui génèrent de l’énergie renouvelable (par exemple une éolienne, des panneaux solaires)",1030.0,66.0,4.0,10.0,43.0,94.0,131.0,33.0,9.0,26.0,23.0,6.0,47.0,16.0,36.0,3.0,1.0,37.0,12.0,63.0,42.0,95.0,13.0,15.0,3.0,62.0,16.0,53.0,74.0,72.0
special_eb_322_volume_A.xls,personally_taken_action,"You have installed equipment in your own home that generates renewable energy (for example, a wind turbine, solar panels)",0.06,0.1,0.02,0.02,0.07,0.13,0.12,0.1,0.02,0.03,0.03,0.01,0.08,0.02,0.09,0.01,0.0,0.09,0.03,0.16,0.06,0.13,0.03,0.02,0.01,0.08,0.03,0.08,0.09,0.07
special_eb_322_volume_A.xls,personally_taken_action,Autre (SPONTANE) ,193.0,11.0,2.0,0.0,3.0,10.0,13.0,2.0,4.0,9.0,2.0,6.0,7.0,3.0,4.0,8.0,6.0,1.0,15.0,0.0,13.0,5.0,16.0,3.0,2.0,14.0,2.0,11.0,13.0,11.0
special_eb_322_volume_A.xls,personally_taken_action,Other (SPONTANEOUS),0.01,0.02,0.01,- ,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.02,0.02,0.0,0.03,- ,0.02,0.01,0.03,0.0,0.01,0.02,0.0,0.02,0.02,0.01
special_eb_322_volume_A.xls,personally_taken_action,NSP,161.0,2.0,6.0,0.0,1.0,1.0,2.0,1.0,8.0,2.0,0.0,6.0,3.0,10.0,0.0,3.0,8.0,0.0,2.0,1.0,5.0,1.0,15.0,31.0,18.0,2.0,1.0,0.0,3.0,7.0
special_eb_322_volume_A.xls,personally_taken_action,DK,0.01,0.0,0.03,- ,0.0,0.0,0.0,0.0,0.02,0.0,- ,0.01,0.0,0.01,- ,0.01,0.02,- ,0.0,0.0,0.01,0.0,0.03,0.05,0.04,0.0,0.0,- ,0.0,0.01
