source,question,answer/countries,"UE27
EU27",BE,BG,CZ,DK,D-W,DE,D-E,EE,EL,ES,FR,IE,IT,CY,CY (tcc),LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,HR,TR,MK
special_eb_313_volume_A.xls,severity_of_problem,TOTAL,26718.0,1018.0,1000.0,1050.0,1016.0,1006.0,1523.0,517.0,1003.0,1000.0,1003.0,1035.0,1000.0,1060.0,504.0,500.0,1001.0,1010.0,504.0,1023.0,500.0,1044.0,1000.0,1000.0,1000.0,1043.0,1008.0,1025.0,1017.0,1017.0,1314.0,1000.0,1005.0,1009.0
special_eb_313_volume_A.xls,severity_of_problem,1. Pas un problème sérieux du tout,470.0,15.0,6.0,21.0,27.0,14.0,33.0,27.0,69.0,1.0,18.0,11.0,9.0,10.0,0.0,10.0,27.0,24.0,15.0,3.0,5.0,31.0,16.0,17.0,4.0,5.0,3.0,1.0,21.0,13.0,51.0,13.0,25.0,13.0
special_eb_313_volume_A.xls,severity_of_problem,1  Not a serious problem at all,0.02,0.02,0.01,0.02,0.03,0.01,0.02,0.05,0.07,- ,0.02,0.01,0.01,0.01,- ,0.02,0.03,0.02,0.03,- ,0.01,0.03,0.02,0.02,- ,- ,- ,- ,0.02,0.01,0.04,0.01,0.02,0.01
special_eb_313_volume_A.xls,severity_of_problem,2,303.0,9.0,3.0,10.0,13.0,5.0,8.0,4.0,19.0,2.0,16.0,3.0,13.0,14.0,0.0,3.0,25.0,16.0,13.0,5.0,0.0,12.0,17.0,9.0,7.0,13.0,8.0,3.0,7.0,20.0,34.0,10.0,11.0,5.0
special_eb_313_volume_A.xls,severity_of_problem,2,0.01,0.01,- ,0.01,0.01,- ,0.01,0.01,0.02,- ,0.01,- ,0.01,0.01,- ,0.01,0.02,0.02,0.03,- ,- ,0.01,0.02,0.01,0.01,0.01,0.01,- ,0.01,0.02,0.03,0.01,0.01,0.01
special_eb_313_volume_A.xls,severity_of_problem,3,779.0,34.0,21.0,29.0,41.0,17.0,36.0,26.0,37.0,2.0,32.0,26.0,32.0,30.0,2.0,4.0,52.0,25.0,17.0,8.0,6.0,55.0,41.0,34.0,16.0,11.0,16.0,18.0,26.0,30.0,60.0,13.0,27.0,28.0
special_eb_313_volume_A.xls,severity_of_problem,3,0.03,0.03,0.02,0.03,0.04,0.02,0.02,0.05,0.04,- ,0.03,0.02,0.03,0.03,0.01,0.01,0.05,0.02,0.03,0.01,0.01,0.05,0.04,0.03,0.02,0.01,0.02,0.02,0.03,0.03,0.04,0.01,0.03,0.03
special_eb_313_volume_A.xls,severity_of_problem,4,983.0,55.0,37.0,46.0,53.0,41.0,64.0,25.0,47.0,5.0,26.0,12.0,31.0,34.0,7.0,6.0,48.0,38.0,16.0,17.0,3.0,55.0,48.0,65.0,28.0,18.0,21.0,18.0,44.0,28.0,75.0,26.0,27.0,29.0
special_eb_313_volume_A.xls,severity_of_problem,4,0.04,0.05,0.04,0.04,0.05,0.04,0.04,0.05,0.05,- ,0.03,0.01,0.03,0.03,0.02,0.01,0.05,0.04,0.03,0.02,0.01,0.05,0.05,0.06,0.03,0.02,0.02,0.02,0.04,0.03,0.06,0.03,0.03,0.03
special_eb_313_volume_A.xls,severity_of_problem,5,2843.0,147.0,83.0,100.0,127.0,114.0,170.0,55.0,202.0,26.0,65.0,89.0,119.0,86.0,11.0,52.0,152.0,147.0,77.0,70.0,39.0,159.0,115.0,121.0,124.0,62.0,46.0,89.0,115.0,112.0,238.0,99.0,87.0,126.0
special_eb_313_volume_A.xls,severity_of_problem,5,0.11,0.14,0.08,0.1,0.12,0.11,0.11,0.11,0.2,0.03,0.06,0.09,0.12,0.08,0.02,0.1,0.15,0.14,0.15,0.07,0.08,0.15,0.11,0.12,0.12,0.06,0.05,0.09,0.11,0.11,0.18,0.1,0.09,0.12
special_eb_313_volume_A.xls,severity_of_problem,6,2475.0,74.0,111.0,91.0,102.0,76.0,121.0,48.0,112.0,34.0,107.0,55.0,105.0,113.0,15.0,33.0,118.0,77.0,44.0,65.0,29.0,140.0,119.0,96.0,101.0,95.0,67.0,113.0,102.0,79.0,160.0,90.0,68.0,125.0
special_eb_313_volume_A.xls,severity_of_problem,6,0.09,0.07,0.11,0.09,0.1,0.08,0.08,0.09,0.11,0.03,0.11,0.05,0.11,0.11,0.03,0.07,0.12,0.08,0.09,0.06,0.06,0.13,0.12,0.1,0.1,0.09,0.07,0.11,0.1,0.08,0.12,0.09,0.07,0.12
special_eb_313_volume_A.xls,severity_of_problem,7,4384.0,183.0,158.0,181.0,208.0,143.0,221.0,81.0,154.0,88.0,188.0,174.0,178.0,204.0,44.0,31.0,137.0,119.0,67.0,174.0,52.0,194.0,163.0,167.0,127.0,112.0,104.0,205.0,196.0,213.0,207.0,138.0,86.0,147.0
special_eb_313_volume_A.xls,severity_of_problem,7,0.16,0.18,0.16,0.17,0.2,0.14,0.15,0.16,0.15,0.09,0.19,0.17,0.18,0.19,0.09,0.06,0.14,0.12,0.13,0.17,0.1,0.19,0.16,0.17,0.13,0.11,0.1,0.2,0.19,0.21,0.16,0.14,0.08,0.15
special_eb_313_volume_A.xls,severity_of_problem,8,5097.0,195.0,177.0,196.0,178.0,190.0,286.0,94.0,123.0,190.0,200.0,236.0,215.0,217.0,92.0,39.0,136.0,164.0,75.0,231.0,138.0,226.0,200.0,190.0,152.0,172.0,175.0,236.0,250.0,225.0,179.0,181.0,156.0,142.0
special_eb_313_volume_A.xls,severity_of_problem,8,0.19,0.19,0.18,0.19,0.18,0.19,0.19,0.18,0.12,0.19,0.2,0.23,0.21,0.21,0.18,0.08,0.14,0.16,0.15,0.23,0.28,0.22,0.2,0.19,0.15,0.16,0.17,0.23,0.25,0.22,0.14,0.18,0.15,0.14
special_eb_313_volume_A.xls,severity_of_problem,9,2509.0,82.0,132.0,96.0,67.0,82.0,113.0,23.0,44.0,257.0,131.0,100.0,96.0,88.0,72.0,28.0,44.0,81.0,33.0,115.0,69.0,63.0,71.0,75.0,126.0,134.0,73.0,159.0,117.0,91.0,93.0,113.0,117.0,77.0
special_eb_313_volume_A.xls,severity_of_problem,9,0.09,0.08,0.13,0.09,0.07,0.08,0.07,0.04,0.04,0.26,0.13,0.1,0.1,0.08,0.14,0.06,0.04,0.08,0.06,0.11,0.14,0.06,0.07,0.07,0.13,0.13,0.07,0.15,0.12,0.09,0.07,0.11,0.12,0.08
special_eb_313_volume_A.xls,severity_of_problem,10 Un problème extrêmement sérieux,6177.0,219.0,235.0,264.0,190.0,317.0,463.0,133.0,178.0,395.0,182.0,316.0,159.0,219.0,258.0,282.0,240.0,292.0,145.0,327.0,137.0,101.0,196.0,175.0,261.0,319.0,490.0,170.0,135.0,201.0,188.0,299.0,321.0,254.0
special_eb_313_volume_A.xls,severity_of_problem,10  An extremely serious problem,0.23,0.22,0.23,0.25,0.19,0.32,0.3,0.26,0.18,0.4,0.18,0.31,0.16,0.21,0.51,0.56,0.24,0.29,0.29,0.32,0.27,0.1,0.2,0.18,0.26,0.31,0.49,0.17,0.13,0.2,0.14,0.3,0.32,0.25
special_eb_313_volume_A.xls,severity_of_problem,NSP,698.0,6.0,38.0,16.0,8.0,6.0,8.0,1.0,20.0,0.0,37.0,12.0,44.0,45.0,2.0,11.0,22.0,28.0,3.0,7.0,21.0,6.0,15.0,50.0,54.0,102.0,5.0,13.0,4.0,5.0,28.0,18.0,80.0,62.0
special_eb_313_volume_A.xls,severity_of_problem,DK,0.03,0.01,0.04,0.01,0.01,0.01,0.01,- ,0.02,- ,0.04,0.01,0.04,0.04,- ,0.02,0.02,0.03,0.01,0.01,0.04,0.01,0.01,0.05,0.05,0.1,- ,0.01,- ,- ,0.02,0.02,0.08,0.06
special_eb_313_volume_A.xls,severity_of_problem,Moyenne/Average,7.4,7.2,7.6,7.4,7.0,7.7,7.6,7.0,6.4,8.8,7.4,7.9,7.2,7.4,8.9,8.4,6.9,7.4,7.2,8.1,8.1,6.6,7.1,7.0,7.7,8.0,8.4,7.6,7.2,7.3,6.5,7.8,7.8,7.4
