source,question,answer/countries,"UE27
EU27",BE,BG,CZ,DK,D-W,DE,D-E,EE,IE,EL,ES,FR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK
special_eb_322_volume_A.xls,severity_of_problem,TOTAL,26719.0,1005.0,1015.0,1007.0,1020.0,1037.0,1549.0,512.0,1000.0,1001.0,1000.0,1026.0,1027.0,1039.0,508.0,1011.0,1023.0,500.0,1000.0,500.0,996.0,1007.0,1000.0,1051.0,1013.0,1025.0,1050.0,1008.0,1007.0,1331.0
special_eb_322_volume_A.xls,severity_of_problem,1. Pas un problème sérieux du tout,408.0,17.0,14.0,24.0,16.0,13.0,24.0,13.0,48.0,17.0,2.0,7.0,7.0,9.0,4.0,62.0,62.0,9.0,6.0,3.0,20.0,4.0,30.0,0.0,13.0,6.0,18.0,5.0,14.0,38.0
special_eb_322_volume_A.xls,severity_of_problem,1  Not a serious problem at all,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0.03,0.05,0.02,- ,0.01,0.01,0.01,0.01,0.06,0.06,0.02,0.01,0.01,0.02,0.01,0.03,- ,0.01,0.01,0.02,- ,0.01,0.03
special_eb_322_volume_A.xls,severity_of_problem,2,357.0,13.0,8.0,8.0,18.0,10.0,16.0,7.0,36.0,12.0,6.0,9.0,11.0,12.0,0.0,39.0,20.0,6.0,6.0,1.0,18.0,4.0,18.0,9.0,21.0,4.0,12.0,7.0,13.0,30.0
special_eb_322_volume_A.xls,severity_of_problem,2,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.01,- ,0.04,0.02,0.01,0.01,- ,0.02,- ,0.02,0.01,0.02,- ,0.01,0.01,0.01,0.02
special_eb_322_volume_A.xls,severity_of_problem,3,826.0,30.0,30.0,49.0,42.0,38.0,58.0,20.0,71.0,30.0,27.0,11.0,15.0,27.0,11.0,73.0,49.0,13.0,24.0,4.0,51.0,19.0,42.0,33.0,27.0,16.0,23.0,31.0,45.0,58.0
special_eb_322_volume_A.xls,severity_of_problem,3,0.03,0.03,0.03,0.05,0.04,0.04,0.04,0.04,0.07,0.03,0.03,0.01,0.01,0.02,0.02,0.07,0.05,0.03,0.02,0.01,0.05,0.02,0.04,0.03,0.03,0.02,0.02,0.03,0.05,0.04
special_eb_322_volume_A.xls,severity_of_problem,4,1216.0,34.0,58.0,54.0,53.0,40.0,61.0,21.0,85.0,42.0,21.0,26.0,32.0,40.0,6.0,71.0,63.0,22.0,58.0,18.0,81.0,31.0,82.0,55.0,49.0,25.0,40.0,46.0,31.0,78.0
special_eb_322_volume_A.xls,severity_of_problem,4,0.04,0.03,0.06,0.05,0.05,0.04,0.04,0.04,0.08,0.04,0.02,0.03,0.03,0.04,0.01,0.07,0.06,0.04,0.06,0.04,0.08,0.03,0.08,0.05,0.05,0.02,0.04,0.05,0.03,0.06
special_eb_322_volume_A.xls,severity_of_problem,5,3095.0,111.0,116.0,165.0,133.0,132.0,202.0,72.0,188.0,99.0,34.0,65.0,103.0,83.0,36.0,192.0,164.0,44.0,105.0,41.0,136.0,88.0,152.0,179.0,77.0,77.0,136.0,109.0,106.0,231.0
