source,question,answer/countries,"UE28
EU28",BE,BG,CZ,DK,D-W,DE,D-E,EE,IE,EL,ES,FR,IT,CY,LV,LT,LU,HR,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK
special_eb_409_volume_A.xls,severity_of_problem,TOTAL,27919.0,1077.0,1026.0,1018.0,1010.0,1039.0,1600.0,561.0,1012.0,1007.0,1007.0,1013.0,1022.0,1019.0,500.0,1011.0,1023.0,510.0,1002.0,1012.0,500.0,1037.0,1019.0,1000.0,1055.0,1013.0,1113.0,1000.0,971.0,1011.0,1331.0
special_eb_409_volume_A.xls,severity_of_problem,1 Pas un problème Sérieux,405.0,7.0,3.0,11.0,16.0,12.0,19.0,8.0,80.0,15.0,7.0,8.0,13.0,1.0,11.0,49.0,31.0,7.0,19.0,7.0,3.0,26.0,4.0,34.0,4.0,15.0,13.0,11.0,27.0,11.0,38.0
special_eb_409_volume_A.xls,severity_of_problem,1 Not at all a serious problem,0.01,0.01,- ,0.01,0.02,0.01,0.01,0.01,0.08,0.01,0.01,0.01,0.01,- ,0.02,0.05,0.03,0.01,0.02,0.01,0.01,0.02,- ,0.03,- ,0.01,0.01,0.01,0.03,0.01,0.03
special_eb_409_volume_A.xls,severity_of_problem,2,350.0,11.0,9.0,16.0,16.0,8.0,15.0,8.0,31.0,15.0,5.0,6.0,9.0,8.0,2.0,39.0,21.0,4.0,11.0,4.0,3.0,8.0,7.0,16.0,8.0,8.0,4.0,5.0,11.0,7.0,48.0
special_eb_409_volume_A.xls,severity_of_problem,,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.03,0.01,0.01,- ,0.01,0.01,- ,0.04,0.02,0.01,0.01,- ,0.01,0.01,0.01,0.02,0.01,0.01,0.01,- ,0.01,0.01,0.04
special_eb_409_volume_A.xls,severity_of_problem,3,776.0,24.0,17.0,29.0,32.0,31.0,51.0,22.0,76.0,46.0,12.0,10.0,23.0,11.0,9.0,48.0,29.0,10.0,19.0,11.0,9.0,46.0,19.0,39.0,21.0,33.0,36.0,15.0,39.0,24.0,71.0
special_eb_409_volume_A.xls,severity_of_problem,,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.08,0.05,0.01,0.01,0.02,0.01,0.02,0.05,0.03,0.02,0.02,0.01,0.02,0.04,0.02,0.04,0.02,0.03,0.03,0.01,0.04,0.02,0.05
special_eb_409_volume_A.xls,severity_of_problem,4,1085.0,39.0,37.0,41.0,51.0,44.0,67.0,22.0,83.0,68.0,12.0,17.0,42.0,15.0,16.0,70.0,27.0,18.0,29.0,32.0,13.0,44.0,39.0,47.0,30.0,39.0,22.0,17.0,74.0,40.0,97.0
special_eb_409_volume_A.xls,severity_of_problem,,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.08,0.07,0.01,0.02,0.04,0.01,0.03,0.07,0.02,0.03,0.03,0.03,0.02,0.04,0.04,0.05,0.03,0.04,0.02,0.02,0.07,0.04,0.07
special_eb_409_volume_A.xls,severity_of_problem,5,3106.0,92.0,94.0,142.0,139.0,104.0,164.0,63.0,230.0,178.0,62.0,62.0,160.0,50.0,49.0,230.0,165.0,73.0,135.0,56.0,59.0,133.0,68.0,113.0,81.0,123.0,92.0,76.0,119.0,98.0,254.0
special_eb_409_volume_A.xls,severity_of_problem,,0.11,0.09,0.09,0.14,0.14,0.1,0.1,0.11,0.23,0.18,0.06,0.06,0.16,0.05,0.1,0.23,0.16,0.14,0.13,0.05,0.12,0.13,0.07,0.11,0.08,0.12,0.08,0.08,0.12,0.1,0.19
special_eb_409_volume_A.xls,severity_of_problem,6,2758.0,150.0,143.0,92.0,150.0,70.0,117.0,52.0,122.0,133.0,56.0,68.0,113.0,69.0,54.0,135.0,100.0,56.0,105.0,77.0,61.0,171.0,90.0,97.0,83.0,113.0,122.0,74.0,147.0,105.0,196.0
special_eb_409_volume_A.xls,severity_of_problem,,0.1,0.14,0.14,0.09,0.15,0.07,0.07,0.09,0.12,0.13,0.06,0.07,0.11,0.07,0.11,0.13,0.1,0.11,0.11,0.08,0.12,0.17,0.09,0.1,0.08,0.11,0.11,0.07,0.15,0.1,0.15
special_eb_409_volume_A.xls,severity_of_problem,7,4984.0,257.0,144.0,170.0,213.0,168.0,240.0,61.0,169.0,216.0,156.0,194.0,211.0,143.0,63.0,156.0,144.0,111.0,152.0,150.0,82.0,302.0,142.0,167.0,139.0,169.0,179.0,157.0,226.0,239.0,275.0
special_eb_409_volume_A.xls,severity_of_problem,,0.18,0.24,0.14,0.17,0.21,0.16,0.15,0.11,0.17,0.22,0.16,0.19,0.21,0.14,0.13,0.15,0.14,0.22,0.15,0.15,0.16,0.29,0.14,0.17,0.13,0.17,0.16,0.16,0.23,0.24,0.21
special_eb_409_volume_A.xls,severity_of_problem,8,5628.0,263.0,186.0,201.0,207.0,207.0,319.0,111.0,93.0,155.0,256.0,231.0,197.0,252.0,101.0,127.0,197.0,90.0,194.0,241.0,112.0,208.0,209.0,198.0,250.0,176.0,222.0,242.0,181.0,237.0,181.0
