source,question,answer/countries,"UE28
EU28","UE28-UK
EU28-UK",BE,BG,CZ,DK,D-W,DE,D-E,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK
special_eb_490_volume_A.xls,severity_of_problem,TOTAL,27655.0,26603.0,1029.0,1041.0,1019.0,1019.0,1037.0,1539.0,502.0,999.0,1067.0,1014.0,1011.0,1029.0,1016.0,1022.0,504.0,1003.0,1001.0,502.0,1023.0,507.0,1022.0,1039.0,1013.0,1012.0,1053.0,1003.0,1076.0,1006.0,1034.0,1052.0
special_eb_490_volume_A.xls,severity_of_problem,1. Pas du tout un problème sérieux,415.0,353.0,7.0,9.0,12.0,2.0,25.0,38.0,14.0,45.0,12.0,1.0,1.0,19.0,9.0,6.0,0.0,33.0,21.0,14.0,0.0,1.0,23.0,28.0,17.0,0.0,13.0,30.0,2.0,9.0,11.0,29.0
special_eb_490_volume_A.xls,severity_of_problem,1. Not at all a serious problem,0.01,0.01,0.01,0.01,0.01,- ,0.02,0.02,0.03,0.05,0.01,- ,- ,0.02,0.01,0.01,- ,0.03,0.02,0.03,- ,- ,0.02,0.03,0.02,- ,0.01,0.03,- ,0.01,0.01,0.03
special_eb_490_volume_A.xls,severity_of_problem,2. ,179.0,163.0,7.0,2.0,5.0,6.0,8.0,11.0,3.0,28.0,7.0,1.0,6.0,8.0,8.0,6.0,2.0,13.0,14.0,6.0,6.0,1.0,6.0,18.0,5.0,0.0,1.0,8.0,4.0,18.0,4.0,9.0
special_eb_490_volume_A.xls,severity_of_problem,,0.01,0.01,0.01,- ,0.01,- ,0.01,0.01,0.01,0.03,0.01,- ,- ,0.01,0.01,0.01,- ,0.01,0.01,0.01,0.01,- ,0.01,0.02,- ,- ,- ,0.01,- ,0.02,0.01,0.01
special_eb_490_volume_A.xls,severity_of_problem,3. ,428.0,386.0,13.0,11.0,34.0,18.0,14.0,24.0,12.0,33.0,6.0,11.0,4.0,17.0,23.0,11.0,3.0,25.0,25.0,15.0,12.0,2.0,13.0,45.0,16.0,3.0,21.0,17.0,5.0,33.0,9.0,24.0
special_eb_490_volume_A.xls,severity_of_problem,,0.02,0.01,0.01,0.01,0.03,0.02,0.01,0.02,0.02,0.03,0.01,0.01,- ,0.02,0.02,0.01,0.01,0.02,0.03,0.03,0.01,0.01,0.01,0.04,0.02,- ,0.02,0.02,- ,0.03,0.01,0.02
special_eb_490_volume_A.xls,severity_of_problem,4. ,560.0,535.0,28.0,18.0,29.0,17.0,19.0,28.0,9.0,31.0,14.0,12.0,17.0,17.0,36.0,25.0,11.0,38.0,25.0,6.0,9.0,1.0,27.0,42.0,18.0,13.0,31.0,12.0,17.0,32.0,15.0,22.0
special_eb_490_volume_A.xls,severity_of_problem,,0.02,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.02,0.01,0.03,0.02,0.02,0.04,0.02,0.01,0.01,- ,0.03,0.04,0.02,0.01,0.03,0.01,0.02,0.03,0.02,0.02
special_eb_490_volume_A.xls,severity_of_problem,5. ,1889.0,1738.0,105.0,56.0,120.0,64.0,58.0,100.0,51.0,144.0,106.0,36.0,31.0,69.0,100.0,28.0,37.0,159.0,111.0,39.0,52.0,6.0,100.0,77.0,104.0,42.0,107.0,68.0,95.0,64.0,75.0,94.0
special_eb_490_volume_A.xls,severity_of_problem,,0.07,0.07,0.1,0.06,0.12,0.06,0.06,0.06,0.1,0.14,0.1,0.03,0.03,0.07,0.1,0.03,0.07,0.16,0.11,0.08,0.05,0.01,0.1,0.07,0.1,0.04,0.1,0.07,0.09,0.06,0.07,0.09
special_eb_490_volume_A.xls,severity_of_problem,6. ,1848.0,1779.0,117.0,86.0,84.0,60.0,46.0,73.0,29.0,106.0,108.0,36.0,46.0,51.0,101.0,70.0,29.0,126.0,77.0,36.0,61.0,22.0,90.0,84.0,100.0,67.0,128.0,90.0,95.0,76.0,45.0,70.0
special_eb_490_volume_A.xls,severity_of_problem,,0.07,0.07,0.11,0.08,0.08,0.06,0.05,0.05,0.06,0.11,0.1,0.04,0.05,0.05,0.1,0.07,0.06,0.13,0.08,0.07,0.06,0.04,0.09,0.08,0.1,0.06,0.12,0.09,0.09,0.08,0.04,0.07
special_eb_490_volume_A.xls,severity_of_problem,7. ,3736.0,3640.0,211.0,137.0,170.0,118.0,126.0,193.0,72.0,167.0,163.0,103.0,113.0,133.0,145.0,134.0,61.0,165.0,124.0,45.0,147.0,44.0,201.0,140.0,149.0,158.0,146.0,129.0,205.0,141.0,179.0,129.0
special_eb_490_volume_A.xls,severity_of_problem,,0.13,0.14,0.21,0.13,0.17,0.12,0.12,0.13,0.14,0.17,0.15,0.1,0.11,0.13,0.14,0.13,0.12,0.16,0.12,0.09,0.14,0.09,0.2,0.14,0.15,0.16,0.14,0.13,0.19,0.14,0.17,0.12
special_eb_490_volume_A.xls,severity_of_problem,8. ,5307.0,5152.0,194.0,179.0,167.0,199.0,167.0,264.0,108.0,178.0,201.0,260.0,208.0,194.0,191.0,198.0,94.0,186.0,209.0,77.0,201.0,79.0,282.0,190.0,198.0,251.0,151.0,189.0,231.0,256.0,215.0,189.0
special_eb_490_volume_A.xls,severity_of_problem,,0.19,0.19,0.19,0.17,0.16,0.19,0.16,0.17,0.21,0.18,0.19,0.26,0.21,0.19,0.19,0.19,0.19,0.19,0.21,0.15,0.2,0.16,0.27,0.18,0.19,0.25,0.14,0.19,0.21,0.25,0.21,0.18
special_eb_490_volume_A.xls,severity_of_problem,9. ,3803.0,3760.0,117.0,149.0,94.0,161.0,150.0,208.0,49.0,65.0,118.0,221.0,171.0,108.0,118.0,203.0,72.0,65.0,116.0,47.0,170.0,86.0,115.0,94.0,109.0,199.0,123.0,111.0,171.0,157.0,177.0,116.0
special_eb_490_volume_A.xls,severity_of_problem,,0.14,0.14,0.11,0.14,0.09,0.16,0.14,0.13,0.1,0.06,0.11,0.22,0.17,0.1,0.12,0.2,0.14,0.06,0.12,0.1,0.16,0.17,0.11,0.09,0.11,0.2,0.12,0.11,0.16,0.16,0.17,0.11
special_eb_490_volume_A.xls,severity_of_problem,10. Un problème extrêmement sérieux,9109.0,8718.0,227.0,360.0,293.0,364.0,417.0,586.0,148.0,180.0,324.0,332.0,405.0,408.0,276.0,326.0,192.0,177.0,276.0,212.0,355.0,257.0,162.0,314.0,253.0,273.0,273.0,334.0,233.0,213.0,301.0,359.0
