source,question,answer/countries,"UE28
EU28",BE,BG,CZ,DK,D-W,DE,D-E,EE,IE,EL,ES,FR,IT,CY,LV,LT,LU,HR,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK
special_eb_409_volume_A.xls,who_is_responsible,TOTAL,27919.0,1077.0,1026.0,1018.0,1010.0,1039.0,1600.0,561.0,1012.0,1007.0,1007.0,1013.0,1022.0,1019.0,500.0,1011.0,1023.0,510.0,1002.0,1012.0,500.0,1037.0,1019.0,1000.0,1055.0,1013.0,1113.0,1000.0,971.0,1011.0,1331.0
special_eb_409_volume_A.xls,who_is_responsible,Les gouvernements nationaux,13430.0,478.0,474.0,514.0,686.0,465.0,715.0,249.0,345.0,479.0,577.0,585.0,526.0,395.0,221.0,319.0,351.0,208.0,390.0,374.0,305.0,495.0,416.0,415.0,453.0,491.0,383.0,526.0,470.0,717.0,731.0
special_eb_409_volume_A.xls,who_is_responsible,National Governments ,0.48,0.44,0.46,0.51,0.68,0.45,0.45,0.44,0.34,0.48,0.57,0.58,0.51,0.39,0.44,0.32,0.34,0.41,0.39,0.37,0.61,0.48,0.41,0.42,0.43,0.48,0.34,0.53,0.48,0.71,0.55
special_eb_409_volume_A.xls,who_is_responsible,L’Union européenne,10756.0,554.0,317.0,275.0,572.0,412.0,650.0,247.0,249.0,388.0,352.0,413.0,501.0,312.0,138.0,198.0,228.0,254.0,340.0,330.0,288.0,499.0,437.0,355.0,365.0,291.0,359.0,367.0,307.0,596.0,478.0
special_eb_409_volume_A.xls,who_is_responsible,The European Union,0.39,0.51,0.31,0.27,0.57,0.4,0.41,0.44,0.25,0.38,0.35,0.41,0.49,0.31,0.28,0.2,0.22,0.5,0.34,0.33,0.58,0.48,0.43,0.36,0.35,0.29,0.32,0.37,0.32,0.59,0.36
special_eb_409_volume_A.xls,who_is_responsible,Les autorités régionales et locales,5365.0,226.0,159.0,121.0,277.0,113.0,184.0,78.0,127.0,147.0,215.0,236.0,187.0,249.0,48.0,118.0,164.0,60.0,166.0,222.0,78.0,124.0,291.0,218.0,190.0,248.0,186.0,165.0,109.0,334.0,250.0
special_eb_409_volume_A.xls,who_is_responsible,Regional and local authorities,0.19,0.21,0.15,0.12,0.27,0.11,0.12,0.14,0.13,0.15,0.21,0.23,0.18,0.24,0.1,0.12,0.16,0.12,0.17,0.22,0.16,0.12,0.29,0.22,0.18,0.24,0.17,0.16,0.11,0.33,0.19
special_eb_409_volume_A.xls,who_is_responsible,Les entreprises et l’industrie,11451.0,522.0,405.0,565.0,538.0,545.0,837.0,291.0,350.0,223.0,505.0,509.0,428.0,338.0,191.0,355.0,417.0,199.0,360.0,508.0,140.0,514.0,537.0,258.0,323.0,325.0,564.0,621.0,491.0,393.0,390.0
special_eb_409_volume_A.xls,who_is_responsible,Business and industry,0.41,0.48,0.39,0.56,0.53,0.52,0.52,0.52,0.35,0.22,0.5,0.5,0.42,0.33,0.38,0.35,0.41,0.39,0.36,0.5,0.28,0.5,0.53,0.26,0.31,0.32,0.51,0.62,0.51,0.39,0.29
special_eb_409_volume_A.xls,who_is_responsible,Vous personnellement,6941.0,396.0,90.0,217.0,510.0,334.0,489.0,139.0,165.0,279.0,212.0,340.0,299.0,106.0,109.0,117.0,242.0,148.0,150.0,118.0,124.0,425.0,265.0,117.0,157.0,104.0,195.0,103.0,308.0,574.0,407.0
special_eb_409_volume_A.xls,who_is_responsible,You personally,0.25,0.37,0.09,0.21,0.51,0.32,0.31,0.25,0.16,0.28,0.21,0.34,0.29,0.1,0.22,0.12,0.24,0.29,0.15,0.12,0.25,0.41,0.26,0.12,0.15,0.1,0.18,0.1,0.32,0.57,0.31
special_eb_409_volume_A.xls,who_is_responsible,Les groupes environnementaux ,5434.0,268.0,171.0,156.0,150.0,121.0,179.0,53.0,216.0,167.0,169.0,175.0,279.0,155.0,107.0,234.0,339.0,76.0,232.0,202.0,87.0,94.0,307.0,242.0,158.0,368.0,154.0,166.0,110.0,206.0,298.0
special_eb_409_volume_A.xls,who_is_responsible,Environmental groups ,0.19,0.25,0.17,0.15,0.15,0.12,0.11,0.09,0.21,0.17,0.17,0.17,0.27,0.15,0.21,0.23,0.33,0.15,0.23,0.2,0.17,0.09,0.3,0.24,0.15,0.36,0.14,0.17,0.11,0.2,0.22
special_eb_409_volume_A.xls,who_is_responsible,Autre (SPONTANE),295.0,19.0,3.0,5.0,5.0,6.0,9.0,3.0,14.0,8.0,4.0,8.0,3.0,19.0,4.0,12.0,19.0,5.0,11.0,16.0,1.0,21.0,30.0,2.0,1.0,19.0,33.0,9.0,9.0,6.0,24.0
special_eb_409_volume_A.xls,who_is_responsible,Other (SPONTANEOUS),0.01,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.0,0.02,0.03,0.0,0.0,0.02,0.03,0.01,0.01,0.01,0.02
special_eb_409_volume_A.xls,who_is_responsible,Tous (SPONTANE),2656.0,58.0,195.0,60.0,36.0,131.0,208.0,80.0,123.0,108.0,145.0,47.0,29.0,182.0,45.0,104.0,51.0,37.0,37.0,126.0,9.0,55.0,273.0,85.0,221.0,44.0,138.0,65.0,76.0,74.0,89.0
special_eb_409_volume_A.xls,who_is_responsible,All of them (SPONTANEOUS),0.1,0.05,0.19,0.06,0.04,0.13,0.13,0.14,0.12,0.11,0.14,0.05,0.03,0.18,0.09,0.1,0.05,0.07,0.04,0.12,0.02,0.05,0.27,0.09,0.21,0.04,0.12,0.06,0.08,0.07,0.07
special_eb_409_volume_A.xls,who_is_responsible,Aucun (SPONTANE),308.0,13.0,5.0,12.0,4.0,9.0,18.0,10.0,46.0,5.0,13.0,5.0,14.0,15.0,28.0,45.0,34.0,2.0,13.0,10.0,2.0,14.0,9.0,5.0,14.0,8.0,7.0,6.0,10.0,4.0,19.0
special_eb_409_volume_A.xls,who_is_responsible,None (SPONTANEOUS),0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.02,0.05,0.01,0.01,0.0,0.01,0.01,0.06,0.04,0.03,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01
special_eb_409_volume_A.xls,who_is_responsible,NSP,1105.0,7.0,71.0,21.0,3.0,17.0,20.0,0.0,62.0,87.0,6.0,23.0,42.0,46.0,15.0,46.0,58.0,12.0,30.0,26.0,9.0,11.0,9.0,63.0,60.0,67.0,25.0,18.0,13.0,7.0,115.0
special_eb_409_volume_A.xls,who_is_responsible,DK,0.04,0.01,0.07,0.02,0.0,0.02,0.01,- ,0.06,0.09,0.01,0.02,0.04,0.05,0.03,0.05,0.06,0.02,0.03,0.03,0.02,0.01,0.01,0.06,0.06,0.07,0.02,0.02,0.01,0.01,0.09
