source,question,answer/countries,"UE28
EU28",BE,BG,CZ,DK,D-W,DE,D-E,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK
special_eb_435_volume_A.xls,who_is_responsible,TOTAL,27718.0,1012.0,1058.0,1008.0,1016.0,1008.0,1513.0,505.0,1018.0,1004.0,1009.0,1000.0,1000.0,1003.0,1040.0,500.0,1003.0,1004.0,503.0,1051.0,500.0,1008.0,1035.0,1005.0,1005.0,1012.0,1019.0,1016.0,1004.0,1066.0,1306.0
special_eb_435_volume_A.xls,who_is_responsible,Les gouvernements nationaux,11628.0,406.0,382.0,508.0,528.0,403.0,587.0,172.0,347.0,454.0,616.0,424.0,425.0,364.0,413.0,191.0,328.0,320.0,176.0,379.0,249.0,512.0,355.0,406.0,449.0,392.0,326.0,485.0,508.0,615.0,553.0
special_eb_435_volume_A.xls,who_is_responsible,National governments ,0.42,0.4,0.36,0.5,0.52,0.4,0.39,0.34,0.34,0.45,0.61,0.42,0.42,0.36,0.4,0.38,0.33,0.32,0.35,0.36,0.5,0.51,0.34,0.4,0.45,0.39,0.32,0.48,0.51,0.58,0.42
special_eb_435_volume_A.xls,who_is_responsible,L’Union européenne,9657.0,440.0,257.0,345.0,481.0,374.0,568.0,198.0,230.0,343.0,458.0,308.0,429.0,361.0,363.0,156.0,183.0,226.0,213.0,288.0,216.0,492.0,352.0,356.0,334.0,307.0,349.0,322.0,386.0,505.0,280.0
special_eb_435_volume_A.xls,who_is_responsible,The European Union,0.35,0.43,0.24,0.34,0.47,0.37,0.38,0.39,0.23,0.34,0.45,0.31,0.43,0.36,0.35,0.31,0.18,0.23,0.42,0.27,0.43,0.49,0.34,0.35,0.33,0.3,0.34,0.32,0.38,0.47,0.21
special_eb_435_volume_A.xls,who_is_responsible,Les autorités régionales et locales,4383.0,167.0,209.0,210.0,129.0,150.0,228.0,80.0,106.0,184.0,294.0,138.0,104.0,194.0,222.0,31.0,126.0,120.0,56.0,168.0,47.0,124.0,215.0,207.0,180.0,274.0,191.0,127.0,160.0,237.0,99.0
special_eb_435_volume_A.xls,who_is_responsible,Regional and local authorities,0.16,0.16,0.2,0.21,0.13,0.15,0.15,0.16,0.1,0.18,0.29,0.14,0.1,0.19,0.21,0.06,0.13,0.12,0.11,0.16,0.09,0.12,0.21,0.21,0.18,0.27,0.19,0.13,0.16,0.22,0.08
special_eb_435_volume_A.xls,who_is_responsible,Les entreprises et l’industrie,9678.0,362.0,387.0,532.0,416.0,471.0,708.0,238.0,310.0,229.0,550.0,312.0,328.0,319.0,375.0,164.0,337.0,385.0,179.0,514.0,80.0,496.0,472.0,208.0,344.0,302.0,484.0,489.0,533.0,319.0,222.0
special_eb_435_volume_A.xls,who_is_responsible,Business and industry,0.35,0.36,0.37,0.53,0.41,0.47,0.47,0.47,0.3,0.23,0.55,0.31,0.33,0.32,0.36,0.33,0.34,0.38,0.36,0.49,0.16,0.49,0.46,0.21,0.34,0.3,0.48,0.48,0.53,0.3,0.17
special_eb_435_volume_A.xls,who_is_responsible,Vous personnellement,5392.0,281.0,78.0,145.0,348.0,251.0,361.0,99.0,138.0,304.0,225.0,198.0,216.0,171.0,126.0,138.0,106.0,266.0,159.0,154.0,98.0,434.0,288.0,71.0,163.0,80.0,194.0,123.0,381.0,450.0,229.0
special_eb_435_volume_A.xls,who_is_responsible,You personally,0.19,0.28,0.07,0.14,0.34,0.25,0.24,0.2,0.14,0.3,0.22,0.2,0.22,0.17,0.12,0.28,0.11,0.27,0.32,0.15,0.2,0.43,0.28,0.07,0.16,0.08,0.19,0.12,0.38,0.42,0.18
special_eb_435_volume_A.xls,who_is_responsible,Les groupes environnementaux,3933.0,136.0,160.0,157.0,83.0,121.0,171.0,43.0,219.0,201.0,188.0,82.0,151.0,264.0,163.0,69.0,277.0,277.0,62.0,154.0,80.0,77.0,263.0,221.0,196.0,235.0,181.0,138.0,145.0,51.0,133.0
special_eb_435_volume_A.xls,who_is_responsible,Environmental groups,0.14,0.13,0.15,0.16,0.08,0.12,0.11,0.09,0.22,0.2,0.19,0.08,0.15,0.26,0.16,0.14,0.28,0.28,0.12,0.15,0.16,0.08,0.25,0.22,0.19,0.23,0.18,0.14,0.14,0.05,0.1
special_eb_435_volume_A.xls,who_is_responsible,Autre (SPONTANE),680.0,19.0,15.0,22.0,32.0,13.0,21.0,9.0,34.0,11.0,53.0,32.0,27.0,30.0,30.0,11.0,52.0,30.0,13.0,39.0,8.0,27.0,43.0,16.0,19.0,39.0,45.0,35.0,20.0,23.0,26.0
special_eb_435_volume_A.xls,who_is_responsible,Other (SPONTANEOUS),0.02,0.02,0.01,0.02,0.03,0.01,0.01,0.02,0.03,0.01,0.05,0.03,0.03,0.03,0.03,0.02,0.05,0.03,0.03,0.04,0.02,0.03,0.04,0.02,0.02,0.04,0.04,0.03,0.02,0.02,0.02
special_eb_435_volume_A.xls,who_is_responsible,Tous (SPONTANE),4379.0,124.0,217.0,92.0,123.0,282.0,421.0,138.0,136.0,121.0,155.0,220.0,94.0,73.0,72.0,86.0,36.0,91.0,112.0,102.0,76.0,75.0,190.0,79.0,231.0,62.0,194.0,68.0,125.0,202.0,303.0
special_eb_435_volume_A.xls,who_is_responsible,All of them (SPONTANEOUS),0.16,0.12,0.21,0.09,0.12,0.28,0.28,0.27,0.13,0.12,0.15,0.22,0.09,0.07,0.07,0.17,0.04,0.09,0.22,0.1,0.15,0.07,0.18,0.08,0.23,0.06,0.19,0.07,0.12,0.19,0.23
special_eb_435_volume_A.xls,who_is_responsible,Aucun (SPONTANE),224.0,9.0,20.0,4.0,3.0,9.0,14.0,6.0,43.0,1.0,0.0,5.0,4.0,2.0,9.0,2.0,16.0,12.0,1.0,12.0,4.0,6.0,3.0,6.0,12.0,12.0,7.0,6.0,3.0,1.0,19.0
special_eb_435_volume_A.xls,who_is_responsible,None (SPONTANEOUS),0.01,0.01,0.02,0.0,0.0,0.01,0.01,0.01,0.04,0.0,- ,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01
special_eb_435_volume_A.xls,who_is_responsible,NSP,1192.0,16.0,92.0,22.0,15.0,8.0,13.0,4.0,65.0,33.0,6.0,26.0,66.0,32.0,89.0,7.0,67.0,43.0,6.0,22.0,11.0,6.0,9.0,65.0,26.0,81.0,28.0,27.0,12.0,12.0,73.0
special_eb_435_volume_A.xls,who_is_responsible,DK,0.04,0.02,0.09,0.02,0.01,0.01,0.01,0.01,0.06,0.03,0.01,0.03,0.07,0.03,0.09,0.01,0.07,0.04,0.01,0.02,0.02,0.01,0.01,0.06,0.03,0.08,0.03,0.03,0.01,0.01,0.06
