source,question,answer/countries,"UE28
EU28",BE,BG,CZ,DK,D-W,DE,D-E,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,"UE28-UK
EU28-UK"
special_eb_459_volume_A.xls,who_is_responsible,National governments (percentage),0.43,0.47,0.42,0.54,0.53,0.34,0.33,0.31,0.34,0.49,0.54,0.47,0.53,0.36,0.42,0.44,0.35,0.41,0.44,0.34,0.56,0.68,0.45,0.41,0.5,0.38,0.35,0.46,0.5,0.69,0.31,
special_eb_459_volume_A.xls,who_is_responsible,The European Union (percentage),0.39,0.56,0.31,0.39,0.52,0.34,0.35,0.39,0.23,0.44,0.44,0.47,0.51,0.37,0.31,0.37,0.23,0.34,0.49,0.28,0.53,0.68,0.45,0.33,0.38,0.32,0.34,0.35,0.46,0.67,0.23,
special_eb_459_volume_A.xls,who_is_responsible,Business and industry (percentage),0.38,0.5,0.42,0.55,0.47,0.37,0.38,0.41,0.34,0.34,0.51,0.43,0.43,0.34,0.29,0.47,0.4,0.44,0.52,0.49,0.33,0.63,0.49,0.28,0.48,0.42,0.48,0.56,0.59,0.52,0.19,
special_eb_459_volume_A.xls,who_is_responsible,You personally (percentage),0.22,0.4,0.11,0.17,0.39,0.23,0.23,0.24,0.15,0.36,0.17,0.21,0.33,0.15,0.09,0.32,0.17,0.28,0.44,0.13,0.29,0.55,0.31,0.12,0.19,0.18,0.16,0.19,0.42,0.59,0.14,
special_eb_459_volume_A.xls,who_is_responsible,Environmental groups (percentage),0.21,0.31,0.21,0.24,0.23,0.13,0.13,0.12,0.21,0.29,0.19,0.18,0.33,0.26,0.17,0.25,0.3,0.39,0.31,0.16,0.31,0.21,0.37,0.2,0.24,0.29,0.24,0.17,0.28,0.28,0.13,
special_eb_435_volume_A.xls,who_is_responsible,National governments  (percentage),0.42,0.4,0.36,0.5,0.52,0.4,0.39,0.34,0.34,0.45,0.61,0.42,0.42,0.36,0.4,0.38,0.33,0.32,0.35,0.36,0.5,0.51,0.34,0.4,0.45,0.39,0.32,0.48,0.51,0.58,0.42,
special_eb_435_volume_A.xls,who_is_responsible,The European Union (percentage),0.35,0.43,0.24,0.34,0.47,0.37,0.38,0.39,0.23,0.34,0.45,0.31,0.43,0.36,0.35,0.31,0.18,0.23,0.42,0.27,0.43,0.49,0.34,0.35,0.33,0.3,0.34,0.32,0.38,0.47,0.21,
special_eb_435_volume_A.xls,who_is_responsible,Business and industry (percentage),0.35,0.36,0.37,0.53,0.41,0.47,0.47,0.47,0.3,0.23,0.55,0.31,0.33,0.32,0.36,0.33,0.34,0.38,0.36,0.49,0.16,0.49,0.46,0.21,0.34,0.3,0.48,0.48,0.53,0.3,0.17,
special_eb_435_volume_A.xls,who_is_responsible,You personally (percentage),0.19,0.28,0.07,0.14,0.34,0.25,0.24,0.2,0.14,0.3,0.22,0.2,0.22,0.17,0.12,0.28,0.11,0.27,0.32,0.15,0.2,0.43,0.28,0.07,0.16,0.08,0.19,0.12,0.38,0.42,0.18,
special_eb_435_volume_A.xls,who_is_responsible,Environmental groups (percentage),0.14,0.13,0.15,0.16,0.08,0.12,0.11,0.09,0.22,0.2,0.19,0.08,0.15,0.26,0.16,0.14,0.28,0.28,0.12,0.15,0.16,0.08,0.25,0.22,0.19,0.23,0.18,0.14,0.14,0.05,0.1,
special_eb_409_volume_A.xls,who_is_responsible,National Governments  (percentage),0.48,0.44,0.46,0.51,0.68,0.45,0.45,0.44,0.34,0.48,0.57,0.58,0.51,0.39,0.39,0.44,0.32,0.34,0.41,0.37,0.61,0.48,0.41,0.42,0.43,0.48,0.34,0.53,0.48,0.71,0.55,
special_eb_409_volume_A.xls,who_is_responsible,The European Union (percentage),0.39,0.51,0.31,0.27,0.57,0.4,0.41,0.44,0.25,0.38,0.35,0.41,0.49,0.34,0.31,0.28,0.2,0.22,0.5,0.33,0.58,0.48,0.43,0.36,0.35,0.29,0.32,0.37,0.32,0.59,0.36,
special_eb_409_volume_A.xls,who_is_responsible,Business and industry (percentage),0.41,0.48,0.39,0.56,0.53,0.52,0.52,0.52,0.35,0.22,0.5,0.5,0.42,0.36,0.33,0.38,0.35,0.41,0.39,0.5,0.28,0.5,0.53,0.26,0.31,0.32,0.51,0.62,0.51,0.39,0.29,
special_eb_409_volume_A.xls,who_is_responsible,You personally (percentage),0.25,0.37,0.09,0.21,0.51,0.32,0.31,0.25,0.16,0.28,0.21,0.34,0.29,0.15,0.1,0.22,0.12,0.24,0.29,0.12,0.25,0.41,0.26,0.12,0.15,0.1,0.18,0.1,0.32,0.57,0.31,
special_eb_409_volume_A.xls,who_is_responsible,Environmental groups  (percentage),0.19,0.25,0.17,0.15,0.15,0.12,0.11,0.09,0.21,0.17,0.17,0.17,0.27,0.23,0.15,0.21,0.23,0.33,0.15,0.2,0.17,0.09,0.3,0.24,0.15,0.36,0.14,0.17,0.11,0.2,0.22,
special_eb_490_volume_A.xls,who_is_responsible,National governments (percentage),0.55,0.54,0.48,0.56,0.64,0.53,0.51,0.44,0.51,0.48,0.67,0.55,0.58,0.44,0.45,0.5,0.46,0.45,0.46,0.43,0.66,0.71,0.41,0.5,0.6,0.46,0.37,0.58,0.65,0.78,0.63,0.53
special_eb_490_volume_A.xls,who_is_responsible,The European Union (percentage),0.49,0.64,0.39,0.43,0.6,0.53,0.52,0.47,0.39,0.45,0.56,0.48,0.58,0.48,0.43,0.42,0.34,0.36,0.52,0.34,0.59,0.67,0.47,0.37,0.56,0.43,0.39,0.49,0.57,0.72,0.45,0.5
special_eb_490_volume_A.xls,who_is_responsible,Business and industry (percentage),0.51,0.58,0.51,0.54,0.58,0.63,0.62,0.57,0.43,0.39,0.64,0.52,0.53,0.46,0.41,0.53,0.44,0.49,0.54,0.52,0.43,0.67,0.48,0.32,0.55,0.45,0.61,0.61,0.62,0.57,0.43,0.52
special_eb_490_volume_A.xls,who_is_responsible,You personally (percentage),0.36,0.47,0.18,0.19,0.52,0.51,0.48,0.35,0.33,0.43,0.32,0.36,0.41,0.3,0.2,0.31,0.28,0.33,0.54,0.18,0.4,0.6,0.33,0.17,0.31,0.26,0.25,0.34,0.55,0.62,0.43,0.35
special_eb_490_volume_A.xls,who_is_responsible,Environmental groups (percentage),0.28,0.34,0.26,0.18,0.23,0.23,0.23,0.24,0.3,0.3,0.26,0.23,0.31,0.4,0.23,0.26,0.33,0.38,0.31,0.22,0.45,0.18,0.35,0.27,0.33,0.37,0.25,0.33,0.24,0.28,0.36,0.27
